No,County,Confirmed,Date
1.,Alba,15,2020-04-04
2.,Arad,128,2020-04-04
3.,Argeș,14,2020-04-04
4.,Bacău,27,2020-04-04
5.,Bihor,46,2020-04-04
6.,Bistrița-Năsăud,28,2020-04-04
7.,Botoșani,48,2020-04-04
8.,Brașov,127,2020-04-04
9.,Brăila,11,2020-04-04
10.,Buzău,12,2020-04-04
11.,Caraș-Severin,17,2020-04-04
12.,Călărași,29,2020-04-04
13.,Cluj,121,2020-04-04
14.,Constanța,110,2020-04-04
15.,Covasna,37,2020-04-04
16.,Dâmbovița,27,2020-04-04
17.,Dolj,27,2020-04-04
18.,Galați,101,2020-04-04
19.,Giurgiu,23,2020-04-04
20.,Gorj,8,2020-04-04
21.,Harghita,1,2020-04-04
22.,Hunedoara,123,2020-04-04
23.,Ialomița,50,2020-04-04
24.,Iași,81,2020-04-04
25.,Ilfov,64,2020-04-04
26.,Maramureș,42,2020-04-04
27.,Mehedinți,13,2020-04-04
28.,Mureș,57,2020-04-04
29.,Neamț,148,2020-04-04
30.,Olt,11,2020-04-04
31.,Prahova,25,2020-04-04
32.,Satu Mare,15,2020-04-04
33.,Sălaj,5,2020-04-04
34.,Sibiu,27,2020-04-04
35.,Suceava,967,2020-04-04
36.,Teleorman,21,2020-04-04
37.,Timiș,136,2020-04-04
38.,Tulcea,6,2020-04-04
39.,Vaslui,11,2020-04-04
40.,Vâlcea,9,2020-04-04
41.,Vrancea,70,2020-04-04
42.,Mun. București,550,2020-04-04
43.,Not identified,5,2020-04-04
