No,County,Confirmed,Date
1.,Alba,281,2020-05-22
2.,Arad,695,2020-05-22
3.,Argeș,229,2020-05-22
4.,Bacău,478,2020-05-22
5.,Bihor,537,2020-05-22
6.,Bistrița-Năsăud,315,2020-05-22
7.,Botoșani,697,2020-05-22
8.,Brașov,670,2020-05-22
9.,Brăila,19,2020-05-22
10.,Buzău,153,2020-05-22
11.,Caraș-Severin,112,2020-05-22
12.,Călărași,78,2020-05-22
13.,Cluj,538,2020-05-22
14.,Constanța,266,2020-05-22
15.,Covasna,229,2020-05-22
16.,Dâmbovița,247,2020-05-22
17.,Dolj,183,2020-05-22
18.,Galați,559,2020-05-22
19.,Giurgiu,210,2020-05-22
20.,Gorj,103,2020-05-22
21.,Harghita,100,2020-05-22
22.,Hunedoara,620,2020-05-22
23.,Ialomița,346,2020-05-22
24.,Iași,430,2020-05-22
25.,Ilfov,441,2020-05-22
26.,Maramureș,90,2020-05-22
27.,Mehedinți,101,2020-05-22
28.,Mureș,660,2020-05-22
29.,Neamț,859,2020-05-22
30.,Olt,67,2020-05-22
31.,Prahova,94,2020-05-22
32.,Satu Mare,60,2020-05-22
33.,Sălaj,80,2020-05-22
34.,Sibiu,475,2020-05-22
35.,Suceava,3455,2020-05-22
36.,Teleorman,124,2020-05-22
37.,Timiș,496,2020-05-22
38.,Tulcea,135,2020-05-22
39.,Vaslui,155,2020-05-22
40.,Vâlcea,28,2020-05-22
41.,Vrancea,562,2020-05-22
42.,Mun. București,1701,2020-05-22
43.,Not identified,34,2020-05-22
