No,County,Confirmed,Date
1.,Alba,574,2020-07-20
2.,Arad,788,2020-07-20
3.,Argeș,2079,2020-07-20
4.,Bacău,920,2020-07-20
5.,Bihor,723,2020-07-20
6.,Bistrița-Năsăud,704,2020-07-20
7.,Botoșani,1104,2020-07-20
8.,Brașov,2381,2020-07-20
9.,Brăila,401,2020-07-20
10.,Buzău,992,2020-07-20
11.,Caraș-Severin,145,2020-07-20
12.,Călărași,237,2020-07-20
13.,Cluj,891,2020-07-20
14.,Constanța,645,2020-07-20
15.,Covasna,369,2020-07-20
16.,Dâmbovița,1194,2020-07-20
17.,Dolj,458,2020-07-20
18.,Galați,1626,2020-07-20
19.,Giurgiu,328,2020-07-20
20.,Gorj,550,2020-07-20
21.,Harghita,424,2020-07-20
22.,Hunedoara,766,2020-07-20
23.,Ialomița,592,2020-07-20
24.,Iași,1139,2020-07-20
25.,Ilfov,1012,2020-07-20
26.,Maramureș,278,2020-07-20
27.,Mehedinți,337,2020-07-20
28.,Mureș,866,2020-07-20
29.,Neamț,1059,2020-07-20
30.,Olt,505,2020-07-20
31.,Prahova,1126,2020-07-20
32.,Satu Mare,84,2020-07-20
33.,Sălaj,127,2020-07-20
34.,Sibiu,770,2020-07-20
35.,Suceava,4268,2020-07-20
36.,Teleorman,218,2020-07-20
37.,Timiș,786,2020-07-20
38.,Tulcea,230,2020-07-20
39.,Vaslui,340,2020-07-20
40.,Vâlcea,219,2020-07-20
41.,Vrancea,1378,2020-07-20
42.,Mun. București,4467,2020-07-20
43.,Not identified,39,2020-07-20
