No,County,Confirmed,Date
1.,Alba,370,2020-05-28
2.,Arad,696,2020-05-28
3.,Argeș,253,2020-05-28
4.,Bacău,502,2020-05-28
5.,Bihor,570,2020-05-28
6.,Bistrița-Năsăud,328,2020-05-28
7.,Botoșani,739,2020-05-28
8.,Brașov,723,2020-05-28
9.,Brăila,27,2020-05-28
10.,Buzău,188,2020-05-28
11.,Caraș-Severin,112,2020-05-28
12.,Călărași,90,2020-05-28
13.,Cluj,548,2020-05-28
14.,Constanța,278,2020-05-28
15.,Covasna,230,2020-05-28
16.,Dâmbovița,280,2020-05-28
17.,Dolj,211,2020-05-28
18.,Galați,582,2020-05-28
19.,Giurgiu,213,2020-05-28
20.,Gorj,135,2020-05-28
21.,Harghita,123,2020-05-28
22.,Hunedoara,630,2020-05-28
23.,Ialomița,359,2020-05-28
24.,Iași,526,2020-05-28
25.,Ilfov,512,2020-05-28
26.,Maramureș,97,2020-05-28
27.,Mehedinți,108,2020-05-28
28.,Mureș,675,2020-05-28
29.,Neamț,877,2020-05-28
30.,Olt,78,2020-05-28
31.,Prahova,108,2020-05-28
32.,Satu Mare,61,2020-05-28
33.,Sălaj,87,2020-05-28
34.,Sibiu,499,2020-05-28
35.,Suceava,3481,2020-05-28
36.,Teleorman,138,2020-05-28
37.,Timiș,501,2020-05-28
38.,Tulcea,145,2020-05-28
39.,Vaslui,162,2020-05-28
40.,Vâlcea,28,2020-05-28
41.,Vrancea,599,2020-05-28
42.,Mun. București,1888,2020-05-28
43.,Not identified,34,2020-05-28
