No,County,Confirmed,Date
1.,Alba,338,2020-05-25
2.,Arad,697,2020-05-25
3.,Argeș,236,2020-05-25
4.,Bacău,491,2020-05-25
5.,Bihor,549,2020-05-25
6.,Bistrița-Năsăud,319,2020-05-25
7.,Botoșani,715,2020-05-25
8.,Brașov,685,2020-05-25
9.,Brăila,25,2020-05-25
10.,Buzău,160,2020-05-25
11.,Caraș-Severin,112,2020-05-25
12.,Călărași,82,2020-05-25
13.,Cluj,542,2020-05-25
14.,Constanța,270,2020-05-25
15.,Covasna,230,2020-05-25
16.,Dâmbovița,261,2020-05-25
17.,Dolj,204,2020-05-25
18.,Galați,572,2020-05-25
19.,Giurgiu,212,2020-05-25
20.,Gorj,120,2020-05-25
21.,Harghita,117,2020-05-25
22.,Hunedoara,626,2020-05-25
23.,Ialomița,352,2020-05-25
24.,Iași,496,2020-05-25
25.,Ilfov,506,2020-05-25
26.,Maramureș,96,2020-05-25
27.,Mehedinți,107,2020-05-25
28.,Mureș,661,2020-05-25
29.,Neamț,870,2020-05-25
30.,Olt,76,2020-05-25
31.,Prahova,96,2020-05-25
32.,Satu Mare,61,2020-05-25
33.,Sălaj,85,2020-05-25
34.,Sibiu,485,2020-05-25
35.,Suceava,3453,2020-05-25
36.,Teleorman,131,2020-05-25
37.,Timiș,498,2020-05-25
38.,Tulcea,141,2020-05-25
39.,Vaslui,157,2020-05-25
40.,Vâlcea,28,2020-05-25
41.,Vrancea,571,2020-05-25
42.,Mun. București,1815,2020-05-25
43.,Not identified,35,2020-05-25
