No,County,Confirmed,Date
1.,Alba,118,2020-04-14
2.,Arad,280,2020-04-14
3.,Argeș,59,2020-04-14
4.,Bacău,76,2020-04-14
5.,Bihor,190,2020-04-14
6.,Bistrița-Năsăud,89,2020-04-14
7.,Botoșani,172,2020-04-14
8.,Brașov,263,2020-04-14
9.,Brăila,16,2020-04-14
10.,Buzău,14,2020-04-14
11.,Caraș-Severin,57,2020-04-14
12.,Călărași,39,2020-04-14
13.,Cluj,198,2020-04-14
14.,Constanța,158,2020-04-14
15.,Covasna,124,2020-04-14
16.,Dâmbovița,31,2020-04-14
17.,Dolj,43,2020-04-14
18.,Galați,204,2020-04-14
19.,Giurgiu,74,2020-04-14
20.,Gorj,10,2020-04-14
21.,Harghita,7,2020-04-14
22.,Hunedoara,320,2020-04-14
23.,Ialomița,108,2020-04-14
24.,Iași,119,2020-04-14
25.,Ilfov,132,2020-04-14
26.,Maramureș,51,2020-04-14
27.,Mehedinți,22,2020-04-14
28.,Mureș,229,2020-04-14
29.,Neamț,304,2020-04-14
30.,Olt,13,2020-04-14
31.,Prahova,39,2020-04-14
32.,Satu Mare,37,2020-04-14
33.,Sălaj,18,2020-04-14
34.,Sibiu,116,2020-04-14
35.,Suceava,1733,2020-04-14
36.,Teleorman,70,2020-04-14
37.,Timiș,318,2020-04-14
38.,Tulcea,18,2020-04-14
39.,Vaslui,49,2020-04-14
40.,Vâlcea,15,2020-04-14
41.,Vrancea,157,2020-04-14
42.,Mun. București,789,2020-04-14
