No,County,Confirmed,Date
1.,Alba,195,2020-04-30
2.,Arad,565,2020-04-30
3.,Argeș,140,2020-04-30
4.,Bacău,226,2020-04-30
5.,Bihor,456,2020-04-30
6.,Bistrița-Năsăud,185,2020-04-30
7.,Botoșani,456,2020-04-30
8.,Brașov,457,2020-04-30
9.,Brăila,23,2020-04-30
10.,Buzău,20,2020-04-30
11.,Caraș-Severin,89,2020-04-30
12.,Călărași,48,2020-04-30
13.,Cluj,349,2020-04-30
14.,Constanța,231,2020-04-30
15.,Covasna,188,2020-04-30
16.,Dâmbovița,99,2020-04-30
17.,Dolj,117,2020-04-30
18.,Galați,368,2020-04-30
19.,Giurgiu,130,2020-04-30
20.,Gorj,47,2020-04-30
21.,Harghita,22,2020-04-30
22.,Hunedoara,513,2020-04-30
23.,Ialomița,180,2020-04-30
24.,Iași,255,2020-04-30
25.,Ilfov,265,2020-04-30
26.,Maramureș,72,2020-04-30
27.,Mehedinți,62,2020-04-30
28.,Mureș,434,2020-04-30
29.,Neamț,484,2020-04-30
30.,Olt,45,2020-04-30
31.,Prahova,68,2020-04-30
32.,Satu Mare,54,2020-04-30
33.,Sălaj,32,2020-04-30
34.,Sibiu,297,2020-04-30
35.,Suceava,2765,2020-04-30
36.,Teleorman,101,2020-04-30
37.,Timiș,451,2020-04-30
38.,Tulcea,47,2020-04-30
39.,Vaslui,116,2020-04-30
40.,Vâlcea,26,2020-04-30
41.,Vrancea,261,2020-04-30
42.,Mun. București,1275,2020-04-30
43.,Not identified,26,2020-04-30
