No,County,Confirmed,Date
1.,Alba,412,2020-06-15
2.,Arad,703,2020-06-15
3.,Argeș,365,2020-06-15
4.,Bacău,566,2020-06-15
5.,Bihor,659,2020-06-15
6.,Bistrița-Năsăud,422,2020-06-15
7.,Botoșani,899,2020-06-15
8.,Brașov,1029,2020-06-15
9.,Brăila,92,2020-06-15
10.,Buzău,326,2020-06-15
11.,Caraș-Severin,112,2020-06-15
12.,Călărași,133,2020-06-15
13.,Cluj,603,2020-06-15
14.,Constanța,312,2020-06-15
15.,Covasna,247,2020-06-15
16.,Dâmbovița,364,2020-06-15
17.,Dolj,253,2020-06-15
18.,Galați,687,2020-06-15
19.,Giurgiu,242,2020-06-15
20.,Gorj,175,2020-06-15
21.,Harghita,211,2020-06-15
22.,Hunedoara,640,2020-06-15
23.,Ialomița,401,2020-06-15
24.,Iași,737,2020-06-15
25.,Ilfov,623,2020-06-15
26.,Maramureș,120,2020-06-15
27.,Mehedinți,156,2020-06-15
28.,Mureș,702,2020-06-15
29.,Neamț,924,2020-06-15
30.,Olt,133,2020-06-15
31.,Prahova,170,2020-06-15
32.,Satu Mare,64,2020-06-15
33.,Sălaj,107,2020-06-15
34.,Sibiu,545,2020-06-15
35.,Suceava,3745,2020-06-15
36.,Teleorman,149,2020-06-15
37.,Timiș,511,2020-06-15
38.,Tulcea,165,2020-06-15
39.,Vaslui,165,2020-06-15
40.,Vâlcea,39,2020-06-15
41.,Vrancea,786,2020-06-15
42.,Mun. București,2437,2020-06-15
43.,Not identified,34,2020-06-15
