No,County,Confirmed,Date
1.,Alba,159,2020-04-24
2.,Arad,471,2020-04-24
3.,Argeș,117,2020-04-24
4.,Bacău,136,2020-04-24
5.,Bihor,360,2020-04-24
6.,Bistrița-Năsăud,150,2020-04-24
7.,Botoșani,407,2020-04-24
8.,Brașov,382,2020-04-24
9.,Brăila,20,2020-04-24
10.,Buzău,14,2020-04-24
11.,Caraș-Severin,79,2020-04-24
12.,Călărași,51,2020-04-24
13.,Cluj,292,2020-04-24
14.,Constanța,222,2020-04-24
15.,Covasna,168,2020-04-24
16.,Dâmbovița,91,2020-04-24
17.,Dolj,66,2020-04-24
18.,Galați,324,2020-04-24
19.,Giurgiu,123,2020-04-24
20.,Gorj,31,2020-04-24
21.,Harghita,19,2020-04-24
22.,Hunedoara,447,2020-04-24
23.,Ialomița,148,2020-04-24
24.,Iași,207,2020-04-24
25.,Ilfov,218,2020-04-24
26.,Maramureș,68,2020-04-24
27.,Mehedinți,49,2020-04-24
28.,Mureș,335,2020-04-24
29.,Neamț,415,2020-04-24
30.,Olt,23,2020-04-24
31.,Prahova,55,2020-04-24
32.,Satu Mare,53,2020-04-24
33.,Sălaj,28,2020-04-24
34.,Sibiu,228,2020-04-24
35.,Suceava,2477,2020-04-24
36.,Teleorman,96,2020-04-24
37.,Timiș,408,2020-04-24
38.,Tulcea,37,2020-04-24
39.,Vaslui,69,2020-04-24
40.,Vâlcea,23,2020-04-24
41.,Vrancea,207,2020-04-24
42.,Mun. București,1133,2020-04-24
43.,Not identified,11,2020-04-24
