No,County,Confirmed,Date
1.,Alba,461,2020-07-03
2.,Arad,707,2020-07-03
3.,Argeș,919,2020-07-03
4.,Bacău,655,2020-07-03
5.,Bihor,673,2020-07-03
6.,Bistrița-Năsăud,554,2020-07-03
7.,Botoșani,1033,2020-07-03
8.,Brașov,1615,2020-07-03
9.,Brăila,235,2020-07-03
10.,Buzău,627,2020-07-03
11.,Caraș-Severin,118,2020-07-03
12.,Călărași,177,2020-07-03
13.,Cluj,688,2020-07-03
14.,Constanța,468,2020-07-03
15.,Covasna,291,2020-07-03
16.,Dâmbovița,625,2020-07-03
17.,Dolj,304,2020-07-03
18.,Galați,966,2020-07-03
19.,Giurgiu,270,2020-07-03
20.,Gorj,247,2020-07-03
21.,Harghita,328,2020-07-03
22.,Hunedoara,663,2020-07-03
23.,Ialomița,440,2020-07-03
24.,Iași,1005,2020-07-03
25.,Ilfov,758,2020-07-03
26.,Maramureș,206,2020-07-03
27.,Mehedinți,197,2020-07-03
28.,Mureș,748,2020-07-03
29.,Neamț,974,2020-07-03
30.,Olt,255,2020-07-03
31.,Prahova,526,2020-07-03
32.,Satu Mare,78,2020-07-03
33.,Sălaj,119,2020-07-03
34.,Sibiu,662,2020-07-03
35.,Suceava,4063,2020-07-03
36.,Teleorman,164,2020-07-03
37.,Timiș,527,2020-07-03
38.,Tulcea,187,2020-07-03
39.,Vaslui,189,2020-07-03
40.,Vâlcea,55,2020-07-03
41.,Vrancea,1081,2020-07-03
42.,Mun. București,3275,2020-07-03
43.,Not identified,33,2020-07-03
