No,County,Confirmed,Date
1.,Alba,561,2020-07-19
2.,Arad,786,2020-07-19
3.,Argeș,1960,2020-07-19
4.,Bacău,868,2020-07-19
5.,Bihor,723,2020-07-19
6.,Bistrița-Năsăud,702,2020-07-19
7.,Botoșani,1102,2020-07-19
8.,Brașov,2328,2020-07-19
9.,Brăila,392,2020-07-19
10.,Buzău,967,2020-07-19
11.,Caraș-Severin,145,2020-07-19
12.,Călărași,236,2020-07-19
13.,Cluj,867,2020-07-19
14.,Constanța,624,2020-07-19
15.,Covasna,359,2020-07-19
16.,Dâmbovița,1169,2020-07-19
17.,Dolj,452,2020-07-19
18.,Galați,1571,2020-07-19
19.,Giurgiu,328,2020-07-19
20.,Gorj,545,2020-07-19
21.,Harghita,421,2020-07-19
22.,Hunedoara,765,2020-07-19
23.,Ialomița,585,2020-07-19
24.,Iași,1136,2020-07-19
25.,Ilfov,1009,2020-07-19
26.,Maramureș,270,2020-07-19
27.,Mehedinți,334,2020-07-19
28.,Mureș,860,2020-07-19
29.,Neamț,1054,2020-07-19
30.,Olt,493,2020-07-19
31.,Prahova,1099,2020-07-19
32.,Satu Mare,84,2020-07-19
33.,Sălaj,127,2020-07-19
34.,Sibiu,763,2020-07-19
35.,Suceava,4257,2020-07-19
36.,Teleorman,218,2020-07-19
37.,Timiș,780,2020-07-19
38.,Tulcea,231,2020-07-19
39.,Vaslui,312,2020-07-19
40.,Vâlcea,214,2020-07-19
41.,Vrancea,1362,2020-07-19
42.,Mun. București,4360,2020-07-19
43.,Not identified,39,2020-07-19
