No,County,Confirmed,Date
1.,Alba,419,2020-06-20
2.,Arad,704,2020-06-20
3.,Argeș,438,2020-06-20
4.,Bacău,587,2020-06-20
5.,Bihor,664,2020-06-20
6.,Bistrița-Năsăud,449,2020-06-20
7.,Botoșani,954,2020-06-20
8.,Brașov,1158,2020-06-20
9.,Brăila,112,2020-06-20
10.,Buzău,397,2020-06-20
11.,Caraș-Severin,112,2020-06-20
12.,Călărași,146,2020-06-20
13.,Cluj,649,2020-06-20
14.,Constanța,352,2020-06-20
15.,Covasna,260,2020-06-20
16.,Dâmbovița,407,2020-06-20
17.,Dolj,262,2020-06-20
18.,Galați,767,2020-06-20
19.,Giurgiu,256,2020-06-20
20.,Gorj,191,2020-06-20
21.,Harghita,262,2020-06-20
22.,Hunedoara,640,2020-06-20
23.,Ialomița,408,2020-06-20
24.,Iași,830,2020-06-20
25.,Ilfov,668,2020-06-20
26.,Maramureș,141,2020-06-20
27.,Mehedinți,168,2020-06-20
28.,Mureș,714,2020-06-20
29.,Neamț,947,2020-06-20
30.,Olt,153,2020-06-20
31.,Prahova,213,2020-06-20
32.,Satu Mare,70,2020-06-20
33.,Sălaj,111,2020-06-20
34.,Sibiu,576,2020-06-20
35.,Suceava,3883,2020-06-20
36.,Teleorman,153,2020-06-20
37.,Timiș,514,2020-06-20
38.,Tulcea,171,2020-06-20
39.,Vaslui,168,2020-06-20
40.,Vâlcea,41,2020-06-20
41.,Vrancea,910,2020-06-20
42.,Mun. București,2671,2020-06-20
43.,Not identified,34,2020-06-20
