No,County,Confirmed,Date
1.,Alba,382,2020-05-31
2.,Arad,697,2020-05-31
3.,Argeș,260,2020-05-31
4.,Bacău,506,2020-05-31
5.,Bihor,608,2020-05-31
6.,Bistrița-Năsăud,335,2020-05-31
7.,Botoșani,758,2020-05-31
8.,Brașov,750,2020-05-31
9.,Brăila,28,2020-05-31
10.,Buzău,196,2020-05-31
11.,Caraș-Severin,112,2020-05-31
12.,Călărași,95,2020-05-31
13.,Cluj,551,2020-05-31
14.,Constanța,279,2020-05-31
15.,Covasna,229,2020-05-31
16.,Dâmbovița,290,2020-05-31
17.,Dolj,223,2020-05-31
18.,Galați,600,2020-05-31
19.,Giurgiu,219,2020-05-31
20.,Gorj,143,2020-05-31
21.,Harghita,134,2020-05-31
22.,Hunedoara,632,2020-05-31
23.,Ialomița,361,2020-05-31
24.,Iași,565,2020-05-31
25.,Ilfov,529,2020-05-31
26.,Maramureș,99,2020-05-31
27.,Mehedinți,112,2020-05-31
28.,Mureș,680,2020-05-31
29.,Neamț,883,2020-05-31
30.,Olt,85,2020-05-31
31.,Prahova,113,2020-05-31
32.,Satu Mare,61,2020-05-31
 33.,Sălaj,93,2020-05-31
34.,Sibiu,504,2020-05-31
35.,Suceava,3523,2020-05-31
36.,Teleorman,144,2020-05-31
37.,Timiș,506,2020-05-31
38.,Tulcea,150,2020-05-31
39.,Vaslui,162,2020-05-31
40.,Vâlcea,30,2020-05-31
41.,Vrancea,621,2020-05-31
42.,Mun. București,1974,2020-05-31
43.,Not identified,35,2020-05-31
