No,County,Confirmed,Date
1.,Alba,499,2020-07-15
2.,Arad,732,2020-07-15
3.,Argeș,1570,2020-07-15
4.,Bacău,791,2020-07-15
5.,Bihor,715,2020-07-15
6.,Bistrița-Năsăud,652,2020-07-15
7.,Botoșani,1084,2020-07-15
8.,Brașov,2130,2020-07-15
9.,Brăila,330,2020-07-15
10.,Buzău,859,2020-07-15
11.,Caraș-Severin,134,2020-07-15
12.,Călărași,219,2020-07-15
13.,Cluj,803,2020-07-15
14.,Constanța,562,2020-07-15
15.,Covasna,335,2020-07-15
16.,Dâmbovița,1037,2020-07-15
17.,Dolj,402,2020-07-15
18.,Galați,1363,2020-07-15
19.,Giurgiu,295,2020-07-15
20.,Gorj,444,2020-07-15
21.,Harghita,395,2020-07-15
22.,Hunedoara,728,2020-07-15
23.,Ialomița,553,2020-07-15
24.,Iași,1094,2020-07-15
25.,Ilfov,938,2020-07-15
26.,Maramureș,250,2020-07-15
27.,Mehedinți,291,2020-07-15
28.,Mureș,829,2020-07-15
29.,Neamț,1013,2020-07-15
30.,Olt,407,2020-07-15
31.,Prahova,880,2020-07-15
32.,Satu Mare,82,2020-07-15
33.,Sălaj,124,2020-07-15
34.,Sibiu,717,2020-07-15
35.,Suceava,4200,2020-07-15
36.,Teleorman,200,2020-07-15
37.,Timiș,639,2020-07-15
38.,Tulcea,208,2020-07-15
39.,Vaslui,246,2020-07-15
40.,Vâlcea,172,2020-07-15
41.,Vrancea,1282,2020-07-15
42.,Mun. București,3985,2020-07-15
43.,Not identified,37,2020-07-15
