No,County,Confirmed,Date
1.,Alba,103,2020-04-11
2.,Arad,229,2020-04-11
3.,Argeș,51,2020-04-11
4.,Bacău,65,2020-04-11
5.,Bihor,83,2020-04-11
6.,Bistrița-Năsăud,82,2020-04-11
7.,Botoșani,155,2020-04-11
8.,Brașov,219,2020-04-11
9.,Brăila,16,2020-04-11
10.,Buzău,13,2020-04-11
11.,Caraș-Severin,48,2020-04-11
12.,Călărași,35,2020-04-11
13.,Cluj,177,2020-04-11
14.,Constanța,155,2020-04-11
15.,Covasna,91,2020-04-11
16.,Dâmbovița,30,2020-04-11
17.,Dolj,43,2020-04-11
18.,Galați,183,2020-04-11
19.,Giurgiu,47,2020-04-11
20.,Gorj,8,2020-04-11
21.,Harghita,6,2020-04-11
22.,Hunedoara,254,2020-04-11
23.,Ialomița,89,2020-04-11
24.,Iași,107,2020-04-11
25.,Ilfov,117,2020-04-11
26.,Maramureș,45,2020-04-11
27.,Mehedinți,17,2020-04-11
28.,Mureș,203,2020-04-11
29.,Neamț,265,2020-04-11
30.,Olt,11,2020-04-11
31.,Prahova,39,2020-04-11
32.,Satu Mare,32,2020-04-11
33.,Sălaj,13,2020-04-11
34.,Sibiu,101,2020-04-11
35.,Suceava,1614,2020-04-11
36.,Teleorman,59,2020-04-11
37.,Timiș,275,2020-04-11
38.,Tulcea,13,2020-04-11
39.,Vaslui,38,2020-04-11
40.,Vâlcea,13,2020-04-11
41.,Vrancea,116,2020-04-11
42.,Mun. București,730,2020-04-11
