No,County,Confirmed,Date
1.,Alba,350,2020-05-26
2.,Arad,696,2020-05-26
3.,Argeș,238,2020-05-26
4.,Bacău,494,2020-05-26
5.,Bihor,553,2020-05-26
6.,Bistrița-Năsăud,322,2020-05-26
7.,Botoșani,726,2020-05-26
8.,Brașov,697,2020-05-26
9.,Brăila,25,2020-05-26
10.,Buzău,164,2020-05-26
11.,Caraș-Severin,112,2020-05-26
12.,Călărași,87,2020-05-26
13.,Cluj,538,2020-05-26
14.,Constanța,276,2020-05-26
15.,Covasna,230,2020-05-26
16.,Dâmbovița,268,2020-05-26
17.,Dolj,207,2020-05-26
18.,Galați,574,2020-05-26
19.,Giurgiu,212,2020-05-26
20.,Gorj,123,2020-05-26
21.,Harghita,120,2020-05-26
22.,Hunedoara,627,2020-05-26
23.,Ialomița,354,2020-05-26
24.,Iași,514,2020-05-26
25.,Ilfov,508,2020-05-26
26.,Maramureș,96,2020-05-26
27.,Mehedinți,107,2020-05-26
28.,Mureș,666,2020-05-26
29.,Neamț,873,2020-05-26
30.,Olt,76,2020-05-26
31.,Prahova,100,2020-05-26
32.,Satu Mare,61,2020-05-26
33.,Sălaj,85,2020-05-26
34.,Sibiu,491,2020-05-26
35.,Suceava,3454,2020-05-26
36.,Teleorman,134,2020-05-26
37.,Timiș,500,2020-05-26
38.,Tulcea,143,2020-05-26
39.,Vaslui,157,2020-05-26
40.,Vâlcea,28,2020-05-26
41.,Vrancea,583,2020-05-26
42.,Mun. București,1825,2020-05-26
43.,Not identified,35,2020-05-26
