No,County,Confirmed,Date
1.,Alba,250,2020-05-14
2.,Arad,688,2020-05-14
3.,Argeș,190,2020-05-14
4.,Bacău,414,2020-05-14
5.,Bihor,491,2020-05-14
6.,Bistrița-Năsăud,280,2020-05-14
7.,Botoșani,640,2020-05-14
8.,Brașov,597,2020-05-14
9.,Brăila,19,2020-05-14
10.,Buzău,97,2020-05-14
11.,Caraș-Severin,110,2020-05-14
12.,Călărași,67,2020-05-14
13.,Cluj,518,2020-05-14
14.,Constanța,253,2020-05-14
15.,Covasna,226,2020-05-14
16.,Dâmbovița,157,2020-05-14
17.,Dolj,153,2020-05-14
18.,Galați,522,2020-05-14
19.,Giurgiu,204,2020-05-14
20.,Gorj,89,2020-05-14
21.,Harghita,25,2020-05-14
22.,Hunedoara,595,2020-05-14
23.,Ialomița,312,2020-05-14
24.,Iași,341,2020-05-14
25.,Ilfov,393,2020-05-14
26.,Maramureș,80,2020-05-14
27.,Mehedinți,86,2020-05-14
28.,Mureș,638,2020-05-14
29.,Neamț,805,2020-05-14
30.,Olt,52,2020-05-14
31.,Prahova,79,2020-05-14
32.,Satu Mare,54,2020-05-14
33.,Sălaj,52,2020-05-14
34.,Sibiu,440,2020-05-14
35.,Suceava,3370,2020-05-14
36.,Teleorman,109,2020-05-14
37.,Timiș,486,2020-05-14
38.,Tulcea,96,2020-05-14
39.,Vaslui,146,2020-05-14
40.,Vâlcea,27,2020-05-14
41.,Vrancea,475,2020-05-14
42.,Mun. București,1574,2020-05-14
43.,Not identified,47,2020-05-14
