No,County,Confirmed,Date
1.,Alba,100,2020-04-10
2.,Arad,179,2020-04-10
3.,Argeș,52,2020-04-10
4.,Bacău,58,2020-04-10
5.,Bihor,70,2020-04-10
6.,Bistrița-Năsăud,78,2020-04-10
7.,Botoșani,119,2020-04-10
8.,Brașov,190,2020-04-10
9.,Brăila,16,2020-04-10
10.,Buzău,13,2020-04-10
11.,Caraș-Severin,38,2020-04-10
12.,Călărași,35,2020-04-10
13.,Cluj,152,2020-04-10
14.,Constanța,124,2020-04-10
15.,Covasna,79,2020-04-10
16.,Dâmbovița,30,2020-04-10
17.,Dolj,40,2020-04-10
18.,Galați,182,2020-04-10
19.,Giurgiu,46,2020-04-10
20.,Gorj,10,2020-04-10
21.,Harghita,5,2020-04-10
22.,Hunedoara,227,2020-04-10
23.,Ialomița,85,2020-04-10
24.,Iași,99,2020-04-10
25.,Ilfov,115,2020-04-10
26.,Maramureș,43,2020-04-10
27.,Mehedinți,16,2020-04-10
28.,Mureș,161,2020-04-10
29.,Neamț,234,2020-04-10
30.,Olt,11,2020-04-10
31.,Prahova,38,2020-04-10
32.,Satu Mare,30,2020-04-10
33.,Sălaj,13,2020-04-10
34.,Sibiu,94,2020-04-10
35.,Suceava,1529,2020-04-10
36.,Teleorman,56,2020-04-10
37.,Timiș,259,2020-04-10
38.,Tulcea,12,2020-04-10
39.,Vaslui,35,2020-04-10
40.,Vâlcea,11,2020-04-10
41.,Vrancea,95,2020-04-10
42.,Mun. București,688,2020-04-10
