No,County,Confirmed,Date
1.,Alba,447,2020-07-01
2.,Arad,706,2020-07-01
3.,Argeș,844,2020-07-01
4.,Bacău,640,2020-07-01
5.,Bihor,671,2020-07-01
6.,Bistrița-Năsăud,535,2020-07-01
7.,Botoșani,1023,2020-07-01
8.,Brașov,1497,2020-07-01
9.,Brăila,219,2020-07-01
10.,Buzău,583,2020-07-01
11.,Caraș-Severin,114,2020-07-01
12.,Călărași,178,2020-07-01
13.,Cluj,682,2020-07-01
14.,Constanța,454,2020-07-01
15.,Covasna,286,2020-07-01
16.,Dâmbovița,561,2020-07-01
17.,Dolj,300,2020-07-01
18.,Galați,912,2020-07-01
19.,Giurgiu,269,2020-07-01
20.,Gorj,234,2020-07-01
21.,Harghita,322,2020-07-01
22.,Hunedoara,661,2020-07-01
23.,Ialomița,432,2020-07-01
24.,Iași,992,2020-07-01
25.,Ilfov,746,2020-07-01
26.,Maramureș,198,2020-07-01
27.,Mehedinți,190,2020-07-01
28.,Mureș,738,2020-07-01
29.,Neamț,965,2020-07-01
30.,Olt,236,2020-07-01
31.,Prahova,406,2020-07-01
32.,Satu Mare,77,2020-07-01
33.,Sălaj,118,2020-07-01
34.,Sibiu,654,2020-07-01
35.,Suceava,4032,2020-07-01
36.,Teleorman,160,2020-07-01
37.,Timiș,522,2020-07-01
38.,Tulcea,180,2020-07-01
39.,Vaslui,184,2020-07-01
40.,Vâlcea,52,2020-07-01
41.,Vrancea,1049,2020-07-01
42.,Mun. București,3193,2020-07-01
43.,Not identified,34,2020-07-01
