No,County,Confirmed,Date
1.,Alba,141,2020-04-16
2.,Arad,339,2020-04-16
3.,Argeș,67,2020-04-16
4.,Bacău,94,2020-04-16
5.,Bihor,219,2020-04-16
6.,Bistrița-Năsăud,93,2020-04-16
7.,Botoșani,290,2020-04-16
8.,Brașov,286,2020-04-16
9.,Brăila,16,2020-04-16
10.,Buzău,14,2020-04-16
11.,Caraș-Severin,58,2020-04-16
12.,Călărași,41,2020-04-16
13.,Cluj,215,2020-04-16
14.,Constanța,168,2020-04-16
15.,Covasna,123,2020-04-16
16.,Dâmbovița,31,2020-04-16
17.,Dolj,55,2020-04-16
18.,Galați,240,2020-04-16
19.,Giurgiu,80,2020-04-16
20.,Gorj,10,2020-04-16
21.,Harghita,9,2020-04-16
22.,Hunedoara,333,2020-04-16
23.,Ialomița,114,2020-04-16
24.,Iași,130,2020-04-16
25.,Ilfov,154,2020-04-16
26.,Maramureș,55,2020-04-16
27.,Mehedinți,28,2020-04-16
28.,Mureș,250,2020-04-16
29.,Neamț,348,2020-04-16
30.,Olt,13,2020-04-16
31.,Prahova,48,2020-04-16
32.,Satu Mare,41,2020-04-16
33.,Sălaj,19,2020-04-16
34.,Sibiu,125,2020-04-16
35.,Suceava,1910,2020-04-16
36.,Teleorman,76,2020-04-16
37.,Timiș,341,2020-04-16
38.,Tulcea,24,2020-04-16
39.,Vaslui,54,2020-04-16
40.,Vâlcea,15,2020-04-16
41.,Vrancea,174,2020-04-16
42.,Mun. București,866,2020-04-16
