No,County,Confirmed,Date
1.,Alba,390,2020-06-02
2.,Arad,698,2020-06-02
3.,Argeș,265,2020-06-02
4.,Bacău,511,2020-06-02
5.,Bihor,624,2020-06-02
6.,Bistrița-Năsăud,340,2020-06-02
7.,Botoșani,781,2020-06-02
8.,Brașov,756,2020-06-02
9.,Brăila,32,2020-06-02
10.,Buzău,198,2020-06-02
11.,Caraș-Severin,112,2020-06-02
12.,Călărași,99,2020-06-02
13.,Cluj,560,2020-06-02
14.,Constanța,284,2020-06-02
15.,Covasna,230,2020-06-02
16.,Dâmbovița,295,2020-06-02
17.,Dolj,230,2020-06-02
18.,Galați,614,2020-06-02
19.,Giurgiu,223,2020-06-02
20.,Gorj,147,2020-06-02
21.,Harghita,140,2020-06-02
22.,Hunedoara,633,2020-06-02
23.,Ialomița,365,2020-06-02
24.,Iași,584,2020-06-02
25.,Ilfov,529,2020-06-02
26.,Maramureș,100,2020-06-02
27.,Mehedinți,114,2020-06-02
28.,Mureș,682,2020-06-02
29.,Neamț,884,2020-06-02
30.,Olt,93,2020-06-02
31.,Prahova,114,2020-06-02
32.,Satu Mare,61,2020-06-02
 33.,Sălaj,93,2020-06-02
34.,Sibiu,506,2020-06-02
35.,Suceava,3534,2020-06-02
36.,Teleorman,144,2020-06-02
37.,Timiș,506,2020-06-02
38.,Tulcea,153,2020-06-02
39.,Vaslui,163,2020-06-02
40.,Vâlcea,31,2020-06-02
41.,Vrancea,629,2020-06-02
42.,Mun. București,2036,2020-06-02
43.,Not identified,34,2020-06-02
