No,County,Confirmed,Date
1.,Alba,225,2020-05-08
2.,Arad,664,2020-05-08
3.,Argeș,163,2020-05-08
4.,Bacău,353,2020-05-08
5.,Bihor,481,2020-05-08
6.,Bistrița-Năsăud,257,2020-05-08
7.,Botoșani,577,2020-05-08
8.,Brașov,539,2020-05-08
9.,Brăila,19,2020-05-08
10.,Buzău,61,2020-05-08
11.,Caraș-Severin,108,2020-05-08
12.,Călărași,62,2020-05-08
13.,Cluj,460,2020-05-08
14.,Constanța,248,2020-05-08
15.,Covasna,211,2020-05-08
16.,Dâmbovița,130,2020-05-08
17.,Dolj,138,2020-05-08
18.,Galați,444,2020-05-08
19.,Giurgiu,156,2020-05-08
20.,Gorj,77,2020-05-08
21.,Harghita,21,2020-05-08
22.,Hunedoara,557,2020-05-08
23.,Ialomița,276,2020-05-08
24.,Iași,321,2020-05-08
25.,Ilfov,375,2020-05-08
26.,Maramureș,68,2020-05-08
27.,Mehedinți,76,2020-05-08
28.,Mureș,595,2020-05-08
29.,Neamț,635,2020-05-08
30.,Olt,48,2020-05-08
31.,Prahova,73,2020-05-08
32.,Satu Mare,53,2020-05-08
33.,Sălaj,45,2020-05-08
34.,Sibiu,400,2020-05-08
35.,Suceava,3165,2020-05-08
36.,Teleorman,101,2020-05-08
37.,Timiș,465,2020-05-08
38.,Tulcea,78,2020-05-08
39.,Vaslui,132,2020-05-08
40.,Vâlcea,26,2020-05-08
41.,Vrancea,420,2020-05-08
42.,Mun. București,1445,2020-05-08
43.,Not identified,63,2020-05-08
