No,County,Confirmed,Date
1.,Alba,401,2020-06-08
2.,Arad,698,2020-06-08
3.,Argeș,286,2020-06-08
4.,Bacău,545,2020-06-08
5.,Bihor,646,2020-06-08
6.,Bistrița-Năsăud,365,2020-06-08
7.,Botoșani,833,2020-06-08
8.,Brașov,855,2020-06-08
9.,Brăila,43,2020-06-08
10.,Buzău,223,2020-06-08
11.,Caraș-Severin,112,2020-06-08
12.,Călărași,103,2020-06-08
13.,Cluj,587,2020-06-08
14.,Constanța,298,2020-06-08
15.,Covasna,223,2020-06-08
16.,Dâmbovița,319,2020-06-08
17.,Dolj,242,2020-06-08
18.,Galați,640,2020-06-08
19.,Giurgiu,233,2020-06-08
20.,Gorj,157,2020-06-08
21.,Harghita,172,2020-06-08
22.,Hunedoara,638,2020-06-08
23.,Ialomița,396,2020-06-08
24.,Iași,654,2020-06-08
25.,Ilfov,559,2020-06-08
26.,Maramureș,109,2020-06-08
27.,Mehedinți,131,2020-06-08
28.,Mureș,689,2020-06-08
29.,Neamț,908,2020-06-08
30.,Olt,112,2020-06-08
31.,Prahova,121,2020-06-08
32.,Satu Mare,62,2020-06-08
33.,Sălaj,99,2020-06-08
34.,Sibiu,514,2020-06-08
35.,Suceava,3634,2020-06-08
36.,Teleorman,147,2020-06-08
37.,Timiș,509,2020-06-08
38.,Tulcea,158,2020-06-08
39.,Vaslui,165,2020-06-08
40.,Vâlcea,37,2020-06-08
41.,Vrancea,697,2020-06-08
42.,Mun. București,2250,2020-06-08
43.,Not identified,34,2020-06-08
