No,County,Confirmed,Date
1.,Alba,204,2020-05-01
2.,Arad,574,2020-05-01
3.,Argeș,143,2020-05-01
4.,Bacău,249,2020-05-01
5.,Bihor,459,2020-05-01
6.,Bistrița-Năsăud,187,2020-05-01
7.,Botoșani,456,2020-05-01
8.,Brașov,470,2020-05-01
9.,Brăila,23,2020-05-01
10.,Buzău,20,2020-05-01
11.,Caraș-Severin,92,2020-05-01
12.,Călărași,49,2020-05-01
13.,Cluj,367,2020-05-01
14.,Constanța,235,2020-05-01
15.,Covasna,189,2020-05-01
16.,Dâmbovița,99,2020-05-01
17.,Dolj,123,2020-05-01
18.,Galați,393,2020-05-01
19.,Giurgiu,134,2020-05-01
20.,Gorj,55,2020-05-01
21.,Harghita,23,2020-05-01
22.,Hunedoara,515,2020-05-01
23.,Ialomița,188,2020-05-01
24.,Iași,266,2020-05-01
25.,Ilfov,274,2020-05-01
26.,Maramureș,75,2020-05-01
27.,Mehedinți,62,2020-05-01
28.,Mureș,446,2020-05-01
29.,Neamț,507,2020-05-01
30.,Olt,42,2020-05-01
31.,Prahova,70,2020-05-01
32.,Satu Mare,54,2020-05-01
33.,Sălaj,34,2020-05-01
34.,Sibiu,307,2020-05-01
35.,Suceava,2859,2020-05-01
36.,Teleorman,101,2020-05-01
37.,Timiș,454,2020-05-01
38.,Tulcea,50,2020-05-01
39.,Vaslui,116,2020-05-01
40.,Vâlcea,26,2020-05-01
41.,Vrancea,259,2020-05-01
42.,Mun. București,1298,2020-05-01
43.,Not identified,20,2020-05-01
