No,County,Confirmed,Date
1.,Alba,211,2020-05-05
2.,Arad,619,2020-05-05
3.,Argeș,160,2020-05-05
4.,Bacău,330,2020-05-05
5.,Bihor,472,2020-05-05
6.,Bistrița-Năsăud,234,2020-05-05
7.,Botoșani,534,2020-05-05
8.,Brașov,504,2020-05-05
9.,Brăila,25,2020-05-05
10.,Buzău,43,2020-05-05
11.,Caraș-Severin,109,2020-05-05
12.,Călărași,61,2020-05-05
13.,Cluj,428,2020-05-05
14.,Constanța,245,2020-05-05
15.,Covasna,196,2020-05-05
16.,Dâmbovița,122,2020-05-05
17.,Dolj,129,2020-05-05
18.,Galați,426,2020-05-05
19.,Giurgiu,146,2020-05-05
20.,Gorj,70,2020-05-05
21.,Harghita,21,2020-05-05
22.,Hunedoara,541,2020-05-05
23.,Ialomița,244,2020-05-05
24.,Iași,294,2020-05-05
25.,Ilfov,304,2020-05-05
26.,Maramureș,76,2020-05-05
27.,Mehedinți,72,2020-05-05
28.,Mureș,527,2020-05-05
29.,Neamț,534,2020-05-05
30.,Olt,47,2020-05-05
31.,Prahova,71,2020-05-05
32.,Satu Mare,52,2020-05-05
33.,Sălaj,43,2020-05-05
34.,Sibiu,371,2020-05-05
35.,Suceava,3010,2020-05-05
36.,Teleorman,109,2020-05-05
37.,Timiș,461,2020-05-05
38.,Tulcea,57,2020-05-05
39.,Vaslui,111,2020-05-05
40.,Vâlcea,24,2020-05-05
41.,Vrancea,380,2020-05-05
42.,Mun. București,1376,2020-05-05
43.,Not identified,48,2020-05-05
