No,County,Confirmed,Date
1.,Alba,396,2020-06-06
2.,Arad,698,2020-06-06
3.,Argeș,279,2020-06-06
4.,Bacău,518,2020-06-06
5.,Bihor,643,2020-06-06
6.,Bistrița-Năsăud,362,2020-06-06
7.,Botoșani,818,2020-06-06
8.,Brașov,826,2020-06-06
9.,Brăila,43,2020-06-06
10.,Buzău,211,2020-06-06
11.,Caraș-Severin,112,2020-06-06
12.,Călărași,103,2020-06-06
13.,Cluj,586,2020-06-06
14.,Constanța,294,2020-06-06
15.,Covasna,223,2020-06-06
16.,Dâmbovița,313,2020-06-06
17.,Dolj,239,2020-06-06
18.,Galați,634,2020-06-06
19.,Giurgiu,233,2020-06-06
20.,Gorj,153,2020-06-06
21.,Harghita,168,2020-06-06
22.,Hunedoara,638,2020-06-06
23.,Ialomița,394,2020-06-06
24.,Iași,620,2020-06-06
25.,Ilfov,554,2020-06-06
26.,Maramureș,106,2020-06-06
27.,Mehedinți,117,2020-06-06
28.,Mureș,687,2020-06-06
29.,Neamț,907,2020-06-06
30.,Olt,101,2020-06-06
31.,Prahova,120,2020-06-06
32.,Satu Mare,62,2020-06-06
33.,Sălaj,98,2020-06-06
34.,Sibiu,509,2020-06-06
35.,Suceava,3593,2020-06-06
36.,Teleorman,146,2020-06-06
37.,Timiș,508,2020-06-06
38.,Tulcea,155,2020-06-06
39.,Vaslui,164,2020-06-06
40.,Vâlcea,37,2020-06-06
41.,Vrancea,680,2020-06-06
42.,Mun. București,2208,2020-06-06
43.,Not identified,34,2020-06-06
