No,County,Confirmed,Date
1.,Alba,405,2020-06-10
2.,Arad,698,2020-06-10
3.,Argeș,303,2020-06-10
4.,Bacău,549,2020-06-10
5.,Bihor,647,2020-06-10
6.,Bistrița-Năsăud,378,2020-06-10
7.,Botoșani,851,2020-06-10
8.,Brașov,923,2020-06-10
9.,Brăila,47,2020-06-10
10.,Buzău,233,2020-06-10
11.,Caraș-Severin,112,2020-06-10
12.,Călărași,105,2020-06-10
13.,Cluj,584,2020-06-10
14.,Constanța,302,2020-06-10
15.,Covasna,224,2020-06-10
16.,Dâmbovița,329,2020-06-10
17.,Dolj,246,2020-06-10
18.,Galați,645,2020-06-10
19.,Giurgiu,237,2020-06-10
20.,Gorj,158,2020-06-10
21.,Harghita,183,2020-06-10
22.,Hunedoara,638,2020-06-10
23.,Ialomița,394,2020-06-10
24.,Iași,678,2020-06-10
25.,Ilfov,584,2020-06-10
26.,Maramureș,111,2020-06-10
27.,Mehedinți,136,2020-06-10
28.,Mureș,691,2020-06-10
29.,Neamț,916,2020-06-10
30.,Olt,119,2020-06-10
31.,Prahova,124,2020-06-10
32.,Satu Mare,63,2020-06-10
33.,Sălaj,102,2020-06-10
34.,Sibiu,521,2020-06-10
35.,Suceava,3668,2020-06-10
36.,Teleorman,147,2020-06-10
37.,Timiș,509,2020-06-10
38.,Tulcea,158,2020-06-10
39.,Vaslui,165,2020-06-10
40.,Vâlcea,38,2020-06-10
41.,Vrancea,701,2020-06-10
42.,Mun. București,2289,2020-06-10
43.,Not identified,34,2020-06-10
