No,County,Confirmed,Date
1.,Alba,426,2020-06-23
2.,Arad,704,2020-06-23
3.,Argeș,510,2020-06-23
4.,Bacău,598,2020-06-23
5.,Bihor,665,2020-06-23
6.,Bistrița-Năsăud,461,2020-06-23
7.,Botoșani,974,2020-06-23
8.,Brașov,1245,2020-06-23
9.,Brăila,130,2020-06-23
10.,Buzău,433,2020-06-23
11.,Caraș-Severin,112,2020-06-23
12.,Călărași,149,2020-06-23
13.,Cluj,655,2020-06-23
14.,Constanța,380,2020-06-23
15.,Covasna,269,2020-06-23
16.,Dâmbovița,437,2020-06-23
17.,Dolj,265,2020-06-23
18.,Galați,786,2020-06-23
19.,Giurgiu,257,2020-06-23
20.,Gorj,202,2020-06-23
21.,Harghita,281,2020-06-23
22.,Hunedoara,641,2020-06-23
23.,Ialomița,415,2020-06-23
24.,Iași,889,2020-06-23
25.,Ilfov,671,2020-06-23
26.,Maramureș,149,2020-06-23
27.,Mehedinți,177,2020-06-23
28.,Mureș,722,2020-06-23
29.,Neamț,952,2020-06-23
30.,Olt,166,2020-06-23
31.,Prahova,240,2020-06-23
32.,Satu Mare,76,2020-06-23
33.,Sălaj,113,2020-06-23
34.,Sibiu,597,2020-06-23
35.,Suceava,3946,2020-06-23
36.,Teleorman,154,2020-06-23
37.,Timiș,514,2020-06-23
38.,Tulcea,173,2020-06-23
39.,Vaslui,170,2020-06-23
40.,Vâlcea,48,2020-06-23
41.,Vrancea,942,2020-06-23
42.,Mun. București,2778,2020-06-23
43.,Not identified,33,2020-06-23
