No,County,Confirmed,Date
1.,Alba,318,2020-05-24
2.,Arad,695,2020-05-24
3.,Argeș,235,2020-05-24
4.,Bacău,490,2020-05-24
5.,Bihor,546,2020-05-24
6.,Bistrița-Năsăud,320,2020-05-24
7.,Botoșani,710,2020-05-24
8.,Brașov,685,2020-05-24
9.,Brăila,25,2020-05-24
10.,Buzău,158,2020-05-24
11.,Caraș-Severin,112,2020-05-24
12.,Călărași,80,2020-05-24
13.,Cluj,538,2020-05-24
14.,Constanța,269,2020-05-24
15.,Covasna,230,2020-05-24
16.,Dâmbovița,258,2020-05-24
17.,Dolj,195,2020-05-24
18.,Galați,571,2020-05-24
19.,Giurgiu,211,2020-05-24
20.,Gorj,117,2020-05-24
21.,Harghita,115,2020-05-24
22.,Hunedoara,626,2020-05-24
23.,Ialomița,352,2020-05-24
24.,Iași,477,2020-05-24
25.,Ilfov,451,2020-05-24
26.,Maramureș,94,2020-05-24
27.,Mehedinți,105,2020-05-24
28.,Mureș,661,2020-05-24
29.,Neamț,871,2020-05-24
30.,Olt,75,2020-05-24
31.,Prahova,96,2020-05-24
32.,Satu Mare,61,2020-05-24
33.,Sălaj,85,2020-05-24
34.,Sibiu,483,2020-05-24
35.,Suceava,3438,2020-05-24
36.,Teleorman,130,2020-05-24
37.,Timiș,498,2020-05-24
38.,Tulcea,141,2020-05-24
39.,Vaslui,157,2020-05-24
40.,Vâlcea,28,2020-05-24
41.,Vrancea,570,2020-05-24
42.,Mun. București,1758,2020-05-24
43.,Not identified,35,2020-05-24
