No,County,Confirmed,Date
1.,Alba,214,2020-05-06
2.,Arad,625,2020-05-06
3.,Argeș,161,2020-05-06
4.,Bacău,349,2020-05-06
5.,Bihor,478,2020-05-06
6.,Bistrița-Năsăud,239,2020-05-06
7.,Botoșani,545,2020-05-06
8.,Brașov,519,2020-05-06
9.,Brăila,24,2020-05-06
10.,Buzău,48,2020-05-06
11.,Caraș-Severin,108,2020-05-06
12.,Călărași,62,2020-05-06
13.,Cluj,447,2020-05-06
14.,Constanța,245,2020-05-06
15.,Covasna,205,2020-05-06
16.,Dâmbovița,121,2020-05-06
17.,Dolj,132,2020-05-06
18.,Galați,431,2020-05-06
19.,Giurgiu,148,2020-05-06
20.,Gorj,70,2020-05-06
21.,Harghita,21,2020-05-06
22.,Hunedoara,546,2020-05-06
23.,Ialomița,266,2020-05-06
24.,Iași,305,2020-05-06
25.,Ilfov,324,2020-05-06
26.,Maramureș,67,2020-05-06
27.,Mehedinți,73,2020-05-06
28.,Mureș,535,2020-05-06
29.,Neamț,548,2020-05-06
30.,Olt,48,2020-05-06
31.,Prahova,72,2020-05-06
32.,Satu Mare,53,2020-05-06
33.,Sălaj,45,2020-05-06
34.,Sibiu,373,2020-05-06
35.,Suceava,3035,2020-05-06
36.,Teleorman,94,2020-05-06
37.,Timiș,474,2020-05-06
38.,Tulcea,62,2020-05-06
39.,Vaslui,119,2020-05-06
40.,Vâlcea,24,2020-05-06
41.,Vrancea,387,2020-05-06
42.,Mun. București,1410,2020-05-06
43.,Not identified,55,2020-05-06
