No,County,Confirmed,Date
1.,Alba,411,2020-06-13
2.,Arad,703,2020-06-13
3.,Argeș,334,2020-06-13
4.,Bacău,559,2020-06-13
5.,Bihor,653,2020-06-13
6.,Bistrița-Năsăud,401,2020-06-13
7.,Botoșani,884,2020-06-13
8.,Brașov,977,2020-06-13
9.,Brăila,56,2020-06-13
10.,Buzău,276,2020-06-13
11.,Caraș-Severin,112,2020-06-13
12.,Călărași,117,2020-06-13
13.,Cluj,597,2020-06-13
14.,Constanța,307,2020-06-13
15.,Covasna,239,2020-06-13
16.,Dâmbovița,355,2020-06-13
17.,Dolj,253,2020-06-13
18.,Galați,672,2020-06-13
19.,Giurgiu,239,2020-06-13
20.,Gorj,163,2020-06-13
21.,Harghita,197,2020-06-13
22.,Hunedoara,640,2020-06-13
23.,Ialomița,400,2020-06-13
24.,Iași,716,2020-06-13
25.,Ilfov,615,2020-06-13
26.,Maramureș,116,2020-06-13
27.,Mehedinți,150,2020-06-13
28.,Mureș,696,2020-06-13
29.,Neamț,923,2020-06-13
30.,Olt,128,2020-06-13
31.,Prahova,143,2020-06-13
32.,Satu Mare,64,2020-06-13
33.,Sălaj,106,2020-06-13
34.,Sibiu,539,2020-06-13
35.,Suceava,3734,2020-06-13
36.,Teleorman,149,2020-06-13
37.,Timiș,511,2020-06-13
38.,Tulcea,164,2020-06-13
39.,Vaslui,165,2020-06-13
40.,Vâlcea,39,2020-06-13
41.,Vrancea,749,2020-06-13
42.,Mun. București,2393,2020-06-13
43.,Not identified,34,2020-06-13
