No,County,Confirmed,Date
1.,Alba,487,2020-07-10
2.,Arad,712,2020-07-10
3.,Argeș,1194,2020-07-10
4.,Bacău,717,2020-07-10
5.,Bihor,705,2020-07-10
6.,Bistrița-Năsăud,613,2020-07-10
7.,Botoșani,1070,2020-07-10
8.,Brașov,1905,2020-07-10
9.,Brăila,275,2020-07-10
10.,Buzău,750,2020-07-10
11.,Caraș-Severin,124,2020-07-10
12.,Călărași,198,2020-07-10
13.,Cluj,734,2020-07-10
14.,Constanța,528,2020-07-10
15.,Covasna,323,2020-07-10
16.,Dâmbovița,857,2020-07-10
17.,Dolj,361,2020-07-10
18.,Galați,1169,2020-07-10
19.,Giurgiu,281,2020-07-10
20.,Gorj,367,2020-07-10
21.,Harghita,367,2020-07-10
22.,Hunedoara,693,2020-07-10
23.,Ialomița,514,2020-07-10
24.,Iași,1055,2020-07-10
25.,Ilfov,868,2020-07-10
26.,Maramureș,228,2020-07-10
27.,Mehedinți,249,2020-07-10
28.,Mureș,804,2020-07-10
29.,Neamț,995,2020-07-10
30.,Olt,339,2020-07-10
31.,Prahova,710,2020-07-10
32.,Satu Mare,82,2020-07-10
33.,Sălaj,121,2020-07-10
34.,Sibiu,689,2020-07-10
35.,Suceava,4141,2020-07-10
36.,Teleorman,175,2020-07-10
37.,Timiș,569,2020-07-10
38.,Tulcea,198,2020-07-10
39.,Vaslui,221,2020-07-10
40.,Vâlcea,99,2020-07-10
41.,Vrancea,1198,2020-07-10
42.,Mun. București,3659,2020-07-10
43.,Not identified,37,2020-07-10
