No,County,Confirmed,Date
1.,Alba,394,2020-06-03
2.,Arad,698,2020-06-03
3.,Argeș,267,2020-06-03
4.,Bacău,511,2020-06-03
5.,Bihor,627,2020-06-03
6.,Bistrița-Năsăud,343,2020-06-03
7.,Botoșani,789,2020-06-03
8.,Brașov,762,2020-06-03
9.,Brăila,41,2020-06-03
10.,Buzău,201,2020-06-03
11.,Caraș-Severin,112,2020-06-03
12.,Călărași,99,2020-06-03
13.,Cluj,564,2020-06-03
14.,Constanța,283,2020-06-03
15.,Covasna,230,2020-06-03
16.,Dâmbovița,298,2020-06-03
17.,Dolj,233,2020-06-03
18.,Galați,616,2020-06-03
19.,Giurgiu,224,2020-06-03
20.,Gorj,151,2020-06-03
21.,Harghita,153,2020-06-03
22.,Hunedoara,634,2020-06-03
23.,Ialomița,368,2020-06-03
24.,Iași,594,2020-06-03
25.,Ilfov,536,2020-06-03
26.,Maramureș,100,2020-06-03
27.,Mehedinți,115,2020-06-03
28.,Mureș,683,2020-06-03
29.,Neamț,884,2020-06-03
30.,Olt,93,2020-06-03
31.,Prahova,115,2020-06-03
32.,Satu Mare,62,2020-06-03
 33.,Sălaj,93,2020-06-03
34.,Sibiu,509,2020-06-03
35.,Suceava,3540,2020-06-03
36.,Teleorman,145,2020-06-03
37.,Timiș,508,2020-06-03
38.,Tulcea,153,2020-06-03
39.,Vaslui,163,2020-06-03
40.,Vâlcea,31,2020-06-03
41.,Vrancea,632,2020-06-03
42.,Mun. București,2081,2020-06-03
43.,Not identified,34,2020-06-03
