No,County,Confirmed,Date
1.,Alba,419,2020-06-21
2.,Arad,704,2020-06-21
3.,Argeș,465,2020-06-21
4.,Bacău,590,2020-06-21
5.,Bihor,664,2020-06-21
6.,Bistrița-Năsăud,454,2020-06-21
7.,Botoșani,956,2020-06-21
8.,Brașov,1215,2020-06-21
9.,Brăila,122,2020-06-21
10.,Buzău,405,2020-06-21
11.,Caraș-Severin,112,2020-06-21
12.,Călărași,148,2020-06-21
13.,Cluj,652,2020-06-21
14.,Constanța,367,2020-06-21
15.,Covasna,264,2020-06-21
16.,Dâmbovița,426,2020-06-21
17.,Dolj,263,2020-06-21
18.,Galați,772,2020-06-21
19.,Giurgiu,256,2020-06-21
20.,Gorj,196,2020-06-21
21.,Harghita,270,2020-06-21
22.,Hunedoara,640,2020-06-21
23.,Ialomița,409,2020-06-21
24.,Iași,848,2020-06-21
25.,Ilfov,669,2020-06-21
26.,Maramureș,143,2020-06-21
27.,Mehedinți,173,2020-06-21
28.,Mureș,717,2020-06-21
29.,Neamț,948,2020-06-21
30.,Olt,158,2020-06-21
31.,Prahova,225,2020-06-21
32.,Satu Mare,73,2020-06-21
33.,Sălaj,111,2020-06-21
34.,Sibiu,585,2020-06-21
35.,Suceava,3901,2020-06-21
36.,Teleorman,154,2020-06-21
37.,Timiș,514,2020-06-21
38.,Tulcea,171,2020-06-21
39.,Vaslui,169,2020-06-21
40.,Vâlcea,43,2020-06-21
41.,Vrancea,932,2020-06-21
42.,Mun. București,2708,2020-06-21
43.,Not identified,34,2020-06-21
