No,County,Confirmed,Date
1.,Alba,455,2020-07-02
2.,Arad,706,2020-07-02
3.,Argeș,872,2020-07-02
4.,Bacău,650,2020-07-02
5.,Bihor,673,2020-07-02
6.,Bistrița-Năsăud,544,2020-07-02
7.,Botoșani,1027,2020-07-02
8.,Brașov,1553,2020-07-02
9.,Brăila,226,2020-07-02
10.,Buzău,613,2020-07-02
11.,Caraș-Severin,116,2020-07-02
12.,Călărași,177,2020-07-02
13.,Cluj,687,2020-07-02
14.,Constanța,458,2020-07-02
15.,Covasna,288,2020-07-02
16.,Dâmbovița,580,2020-07-02
17.,Dolj,304,2020-07-02
18.,Galați,937,2020-07-02
19.,Giurgiu,269,2020-07-02
20.,Gorj,241,2020-07-02
21.,Harghita,324,2020-07-02
22.,Hunedoara,663,2020-07-02
23.,Ialomița,436,2020-07-02
24.,Iași,999,2020-07-02
25.,Ilfov,752,2020-07-02
26.,Maramureș,203,2020-07-02
27.,Mehedinți,193,2020-07-02
28.,Mureș,745,2020-07-02
29.,Neamț,970,2020-07-02
30.,Olt,249,2020-07-02
31.,Prahova,472,2020-07-02
32.,Satu Mare,77,2020-07-02
33.,Sălaj,119,2020-07-02
34.,Sibiu,660,2020-07-02
35.,Suceava,4046,2020-07-02
36.,Teleorman,163,2020-07-02
37.,Timiș,527,2020-07-02
38.,Tulcea,183,2020-07-02
39.,Vaslui,187,2020-07-02
40.,Vâlcea,53,2020-07-02
41.,Vrancea,1078,2020-07-02
42.,Mun. București,3238,2020-07-02
43.,Not identified,33,2020-07-02
