No,County,Confirmed,Date
1.,Alba,444,2020-06-30
2.,Arad,706,2020-06-30
3.,Argeș,793,2020-06-30
4.,Bacău,634,2020-06-30
5.,Bihor,671,2020-06-30
6.,Bistrița-Năsăud,523,2020-06-30
7.,Botoșani,1020,2020-06-30
8.,Brașov,1484,2020-06-30
9.,Brăila,218,2020-06-30
10.,Buzău,565,2020-06-30
11.,Caraș-Severin,113,2020-06-30
12.,Călărași,177,2020-06-30
13.,Cluj,681,2020-06-30
14.,Constanța,446,2020-06-30
15.,Covasna,280,2020-06-30
16.,Dâmbovița,535,2020-06-30
17.,Dolj,295,2020-06-30
18.,Galați,883,2020-06-30
19.,Giurgiu,268,2020-06-30
20.,Gorj,226,2020-06-30
21.,Harghita,318,2020-06-30
22.,Hunedoara,659,2020-06-30
23.,Ialomița,430,2020-06-30
24.,Iași,991,2020-06-30
25.,Ilfov,736,2020-06-30
26.,Maramureș,193,2020-06-30
27.,Mehedinți,186,2020-06-30
28.,Mureș,736,2020-06-30
29.,Neamț,963,2020-06-30
30.,Olt,232,2020-06-30
31.,Prahova,396,2020-06-30
32.,Satu Mare,76,2020-06-30
33.,Sălaj,118,2020-06-30
34.,Sibiu,652,2020-06-30
35.,Suceava,4010,2020-06-30
36.,Teleorman,159,2020-06-30
37.,Timiș,520,2020-06-30
38.,Tulcea,180,2020-06-30
39.,Vaslui,184,2020-06-30
40.,Vâlcea,52,2020-06-30
41.,Vrancea,1042,2020-06-30
42.,Mun. București,3141,2020-06-30
43.,Not identified,34,2020-06-30
