No,County,Confirmed,Date
1.,Alba,471,2020-07-08
2.,Arad,708,2020-07-08
3.,Argeș,1083,2020-07-08
4.,Bacău,692,2020-07-08
5.,Bihor,701,2020-07-08
6.,Bistrița-Năsăud,593,2020-07-08
7.,Botoșani,1057,2020-07-08
8.,Brașov,1796,2020-07-08
9.,Brăila,253,2020-07-08
10.,Buzău,684,2020-07-08
11.,Caraș-Severin,120,2020-07-08
12.,Călărași,190,2020-07-08
13.,Cluj,715,2020-07-08
14.,Constanța,500,2020-07-08
15.,Covasna,310,2020-07-08
16.,Dâmbovița,756,2020-07-08
17.,Dolj,352,2020-07-08
18.,Galați,1122,2020-07-08
19.,Giurgiu,280,2020-07-08
20.,Gorj,315,2020-07-08
21.,Harghita,357,2020-07-08
22.,Hunedoara,667,2020-07-08
23.,Ialomița,464,2020-07-08
24.,Iași,1042,2020-07-08
25.,Ilfov,835,2020-07-08
26.,Maramureș,219,2020-07-08
27.,Mehedinți,227,2020-07-08
28.,Mureș,788,2020-07-08
29.,Neamț,989,2020-07-08
30.,Olt,317,2020-07-08
31.,Prahova,644,2020-07-08
32.,Satu Mare,81,2020-07-08
33.,Sălaj,121,2020-07-08
34.,Sibiu,684,2020-07-08
35.,Suceava,4116,2020-07-08
36.,Teleorman,170,2020-07-08
37.,Timiș,554,2020-07-08
38.,Tulcea,192,2020-07-08
39.,Vaslui,198,2020-07-08
40.,Vâlcea,92,2020-07-08
41.,Vrancea,1166,2020-07-08
42.,Mun. București,3517,2020-07-08
43.,Not identified,37,2020-07-08
