No,County,Confirmed,Date
1.,Alba,171,2020-04-29
2.,Arad,550,2020-04-29
3.,Argeș,134,2020-04-29
4.,Bacău,191,2020-04-29
5.,Bihor,449,2020-04-29
6.,Bistrița-Năsăud,175,2020-04-29
7.,Botoșani,446,2020-04-29
8.,Brașov,429,2020-04-29
9.,Brăila,22,2020-04-29
10.,Buzău,20,2020-04-29
11.,Caraș-Severin,88,2020-04-29
12.,Călărași,48,2020-04-29
13.,Cluj,325,2020-04-29
14.,Constanța,228,2020-04-29
15.,Covasna,178,2020-04-29
16.,Dâmbovița,96,2020-04-29
17.,Dolj,101,2020-04-29
18.,Galați,362,2020-04-29
19.,Giurgiu,127,2020-04-29
20.,Gorj,44,2020-04-29
21.,Harghita,19,2020-04-29
22.,Hunedoara,492,2020-04-29
23.,Ialomița,165,2020-04-29
24.,Iași,243,2020-04-29
25.,Ilfov,260,2020-04-29
26.,Maramureș,72,2020-04-29
27.,Mehedinți,59,2020-04-29
28.,Mureș,423,2020-04-29
29.,Neamț,461,2020-04-29
30.,Olt,38,2020-04-29
31.,Prahova,68,2020-04-29
32.,Satu Mare,55,2020-04-29
33.,Sălaj,31,2020-04-29
34.,Sibiu,282,2020-04-29
35.,Suceava,2733,2020-04-29
36.,Teleorman,96,2020-04-29
37.,Timiș,449,2020-04-29
38.,Tulcea,44,2020-04-29
39.,Vaslui,112,2020-04-29
40.,Vâlcea,25,2020-04-29
41.,Vrancea,252,2020-04-29
42.,Mun. București,1255,2020-04-29
43.,Not identified,160,2020-04-29
