No,County,Confirmed,Date
1.,Alba,401,2020-06-07
2.,Arad,698,2020-06-07
3.,Argeș,284,2020-06-07
4.,Bacău,542,2020-06-07
5.,Bihor,646,2020-06-07
6.,Bistrița-Năsăud,364,2020-06-07
7.,Botoșani,826,2020-06-07
8.,Brașov,837,2020-06-07
9.,Brăila,43,2020-06-07
10.,Buzău,216,2020-06-07
11.,Caraș-Severin,112,2020-06-07
12.,Călărași,103,2020-06-07
13.,Cluj,586,2020-06-07
14.,Constanța,297,2020-06-07
15.,Covasna,223,2020-06-07
16.,Dâmbovița,317,2020-06-07
17.,Dolj,242,2020-06-07
18.,Galați,637,2020-06-07
19.,Giurgiu,233,2020-06-07
20.,Gorj,154,2020-06-07
21.,Harghita,172,2020-06-07
22.,Hunedoara,638,2020-06-07
23.,Ialomița,396,2020-06-07
24.,Iași,647,2020-06-07
25.,Ilfov,558,2020-06-07
26.,Maramureș,109,2020-06-07
27.,Mehedinți,128,2020-06-07
28.,Mureș,689,2020-06-07
29.,Neamț,907,2020-06-07
30.,Olt,106,2020-06-07
31.,Prahova,120,2020-06-07
32.,Satu Mare,62,2020-06-07
33.,Sălaj,99,2020-06-07
34.,Sibiu,510,2020-06-07
35.,Suceava,3612,2020-06-07
36.,Teleorman,146,2020-06-07
37.,Timiș,509,2020-06-07
38.,Tulcea,157,2020-06-07
39.,Vaslui,164,2020-06-07
40.,Vâlcea,37,2020-06-07
41.,Vrancea,680,2020-06-07
42.,Mun. București,2238,2020-06-07
43.,Not identified,34,2020-06-07
