No,County,Confirmed,Date
1.,Alba,265,2020-05-16
2.,Arad,691,2020-05-16
3.,Argeș,199,2020-05-16
4.,Bacău,427,2020-05-16
5.,Bihor,501,2020-05-16
6.,Bistrița-Năsăud,300,2020-05-16
7.,Botoșani,655,2020-05-16
8.,Brașov,613,2020-05-16
9.,Brăila,20,2020-05-16
10.,Buzău,104,2020-05-16
11.,Caraș-Severin,110,2020-05-16
12.,Călărași,69,2020-05-16
13.,Cluj,526,2020-05-16
14.,Constanța,257,2020-05-16
15.,Covasna,228,2020-05-16
16.,Dâmbovița,194,2020-05-16
17.,Dolj,162,2020-05-16
18.,Galați,530,2020-05-16
19.,Giurgiu,205,2020-05-16
20.,Gorj,88,2020-05-16
21.,Harghita,54,2020-05-16
22.,Hunedoara,607,2020-05-16
23.,Ialomița,319,2020-05-16
24.,Iași,358,2020-05-16
25.,Ilfov,408,2020-05-16
26.,Maramureș,81,2020-05-16
27.,Mehedinți,91,2020-05-16
28.,Mureș,646,2020-05-16
29.,Neamț,834,2020-05-16
30.,Olt,53,2020-05-16
31.,Prahova,79,2020-05-16
32.,Satu Mare,56,2020-05-16
33.,Sălaj,72,2020-05-16
34.,Sibiu,445,2020-05-16
35.,Suceava,3408,2020-05-16
36.,Teleorman,113,2020-05-16
37.,Timiș,491,2020-05-16
38.,Tulcea,98,2020-05-16
39.,Vaslui,146,2020-05-16
40.,Vâlcea,27,2020-05-16
41.,Vrancea,507,2020-05-16
42.,Mun. București,1627,2020-05-16
43.,Not identified,40,2020-05-16
