No,County,Confirmed,Date
1.,Alba,34,2020-04-06
2.,Arad,157,2020-04-06
3.,Argeș,27,2020-04-06
4.,Bacău,39,2020-04-06
5.,Bihor,52,2020-04-06
6.,Bistrița-Năsăud,58,2020-04-06
7.,Botoșani,84,2020-04-06
8.,Brașov,138,2020-04-06
9.,Brăila,11,2020-04-06
10.,Buzău,13,2020-04-06
11.,Caraș-Severin,21,2020-04-06
12.,Călărași,31,2020-04-06
13.,Cluj,114,2020-04-06
14.,Constanța,117,2020-04-06
15.,Covasna,52,2020-04-06
16.,Dâmbovița,24,2020-04-06
17.,Dolj,29,2020-04-06
18.,Galați,119,2020-04-06
19.,Giurgiu,32,2020-04-06
20.,Gorj,8,2020-04-06
21.,Harghita,3,2020-04-06
22.,Hunedoara,138,2020-04-06
23.,Ialomița,63,2020-04-06
24.,Iași,87,2020-04-06
25.,Ilfov,89,2020-04-06
26.,Maramureș,42,2020-04-06
27.,Mehedinți,13,2020-04-06
28.,Mureș,56,2020-04-06
29.,Neamț,160,2020-04-06
30.,Olt,11,2020-04-06
31.,Prahova,33,2020-04-06
32.,Satu Mare,25,2020-04-06
33.,Sălaj,10,2020-04-06
34.,Sibiu,55,2020-04-06
35.,Suceava,1228,2020-04-06
36.,Teleorman,30,2020-04-06
37.,Timiș,181,2020-04-06
38.,Tulcea,6,2020-04-06
39.,Vaslui,14,2020-04-06
40.,Vâlcea,8,2020-04-06
41.,Vrancea,79,2020-04-06
42.,Mun. București,566,2020-04-06
