No,County,Confirmed,Date
1.,Alba,158,2020-04-25
2.,Arad,495,2020-04-25
3.,Argeș,118,2020-04-25
4.,Bacău,143,2020-04-25
5.,Bihor,364,2020-04-25
6.,Bistrița-Năsăud,151,2020-04-25
7.,Botoșani,410,2020-04-25
8.,Brașov,386,2020-04-25
9.,Brăila,20,2020-04-25
10.,Buzău,15,2020-04-25
11.,Caraș-Severin,83,2020-04-25
12.,Călărași,51,2020-04-25
13.,Cluj,299,2020-04-25
14.,Constanța,223,2020-04-25
15.,Covasna,173,2020-04-25
16.,Dâmbovița,90,2020-04-25
17.,Dolj,70,2020-04-25
18.,Galați,333,2020-04-25
19.,Giurgiu,126,2020-04-25
20.,Gorj,31,2020-04-25
21.,Harghita,19,2020-04-25
22.,Hunedoara,455,2020-04-25
23.,Ialomița,149,2020-04-25
24.,Iași,216,2020-04-25
25.,Ilfov,224,2020-04-25
26.,Maramureș,69,2020-04-25
27.,Mehedinți,49,2020-04-25
28.,Mureș,351,2020-04-25
29.,Neamț,428,2020-04-25
30.,Olt,22,2020-04-25
31.,Prahova,58,2020-04-25
32.,Satu Mare,53,2020-04-25
33.,Sălaj,29,2020-04-25
34.,Sibiu,238,2020-04-25
35.,Suceava,2499,2020-04-25
36.,Teleorman,95,2020-04-25
37.,Timiș,418,2020-04-25
38.,Tulcea,39,2020-04-25
39.,Vaslui,88,2020-04-25
40.,Vâlcea,23,2020-04-25
41.,Vrancea,205,2020-04-25
42.,Mun. București,1150,2020-04-25
43.,Not identified,19,2020-04-25
