No,County,Confirmed,Date
1.,Alba,271,2020-05-19
2.,Arad,696,2020-05-19
3.,Argeș,219,2020-05-19
4.,Bacău,453,2020-05-19
5.,Bihor,517,2020-05-19
6.,Bistrița-Năsăud,305,2020-05-19
7.,Botoșani,676,2020-05-19
8.,Brașov,630,2020-05-19
9.,Brăila,19,2020-05-19
10.,Buzău,141,2020-05-19
11.,Caraș-Severin,110,2020-05-19
12.,Călărași,75,2020-05-19
13.,Cluj,527,2020-05-19
14.,Constanța,261,2020-05-19
15.,Covasna,229,2020-05-19
16.,Dâmbovița,238,2020-05-19
17.,Dolj,169,2020-05-19
18.,Galați,546,2020-05-19
19.,Giurgiu,207,2020-05-19
20.,Gorj,95,2020-05-19
21.,Harghita,68,2020-05-19
22.,Hunedoara,617,2020-05-19
23.,Ialomița,336,2020-05-19
24.,Iași,369,2020-05-19
25.,Ilfov,427,2020-05-19
26.,Maramureș,84,2020-05-19
27.,Mehedinți,96,2020-05-19
28.,Mureș,657,2020-05-19
29.,Neamț,834,2020-05-19
30.,Olt,53,2020-05-19
31.,Prahova,82,2020-05-19
32.,Satu Mare,58,2020-05-19
33.,Sălaj,77,2020-05-19
34.,Sibiu,459,2020-05-19
35.,Suceava,3478,2020-05-19
36.,Teleorman,118,2020-05-19
37.,Timiș,494,2020-05-19
38.,Tulcea,114,2020-05-19
39.,Vaslui,150,2020-05-19
40.,Vâlcea,27,2020-05-19
41.,Vrancea,514,2020-05-19
42.,Mun. București,1659,2020-05-19
43.,Not identified,36,2020-05-19
