No,County,Confirmed,Date
1.,Alba,467,2020-07-05
2.,Arad,707,2020-07-05
3.,Argeș,989,2020-07-05
4.,Bacău,671,2020-07-05
5.,Bihor,694,2020-07-05
6.,Bistrița-Năsăud,573,2020-07-05
7.,Botoșani,1045,2020-07-05
8.,Brașov,1694,2020-07-05
9.,Brăila,243,2020-07-05
10.,Buzău,635,2020-07-05
11.,Caraș-Severin,119,2020-07-05
12.,Călărași,181,2020-07-05
13.,Cluj,693,2020-07-05
14.,Constanța,482,2020-07-05
15.,Covasna,299,2020-07-05
16.,Dâmbovița,668,2020-07-05
17.,Dolj,333,2020-07-05
18.,Galați,1028,2020-07-05
19.,Giurgiu,274,2020-07-05
20.,Gorj,263,2020-07-05
21.,Harghita,341,2020-07-05
22.,Hunedoara,664,2020-07-05
23.,Ialomița,444,2020-07-05
24.,Iași,1026,2020-07-05
25.,Ilfov,791,2020-07-05
26.,Maramureș,210,2020-07-05
27.,Mehedinți,205,2020-07-05
28.,Mureș,762,2020-07-05
29.,Neamț,980,2020-07-05
30.,Olt,280,2020-07-05
31.,Prahova,569,2020-07-05
32.,Satu Mare,80,2020-07-05
33.,Sălaj,120,2020-07-05
34.,Sibiu,673,2020-07-05
35.,Suceava,4087,2020-07-05
36.,Teleorman,165,2020-07-05
37.,Timiș,534,2020-07-05
38.,Tulcea,189,2020-07-05
39.,Vaslui,193,2020-07-05
40.,Vâlcea,63,2020-07-05
41.,Vrancea,1106,2020-07-05
42.,Mun. București,3396,2020-07-05
43.,Not identified,37,2020-07-05
