No,County,Confirmed,Date
1.,Alba,510,2020-07-17
2.,Arad,756,2020-07-17
3.,Argeș,1758,2020-07-17
4.,Bacău,821,2020-07-17
5.,Bihor,720,2020-07-17
6.,Bistrița-Năsăud,673,2020-07-17
7.,Botoșani,1091,2020-07-17
8.,Brașov,2229,2020-07-17
9.,Brăila,356,2020-07-17
10.,Buzău,912,2020-07-17
11.,Caraș-Severin,137,2020-07-17
12.,Călărași,229,2020-07-17
13.,Cluj,825,2020-07-17
14.,Constanța,590,2020-07-17
15.,Covasna,351,2020-07-17
16.,Dâmbovița,1113,2020-07-17
17.,Dolj,418,2020-07-17
18.,Galați,1475,2020-07-17
19.,Giurgiu,319,2020-07-17
20.,Gorj,501,2020-07-17
21.,Harghita,408,2020-07-17
22.,Hunedoara,754,2020-07-17
23.,Ialomița,567,2020-07-17
24.,Iași,1117,2020-07-17
25.,Ilfov,959,2020-07-17
26.,Maramureș,257,2020-07-17
27.,Mehedinți,315,2020-07-17
28.,Mureș,848,2020-07-17
29.,Neamț,1034,2020-07-17
30.,Olt,448,2020-07-17
31.,Prahova,993,2020-07-17
32.,Satu Mare,82,2020-07-17
33.,Sălaj,127,2020-07-17
34.,Sibiu,735,2020-07-17
35.,Suceava,4233,2020-07-17
36.,Teleorman,208,2020-07-17
37.,Timiș,693,2020-07-17
38.,Tulcea,222,2020-07-17
39.,Vaslui,275,2020-07-17
40.,Vâlcea,203,2020-07-17
41.,Vrancea,1330,2020-07-17
42.,Mun. București,4172,2020-07-17
43.,Not identified,38,2020-07-17
