No,County,Confirmed,Date
1.,Alba,133,2020-04-15
2.,Arad,312,2020-04-15
3.,Argeș,62,2020-04-15
4.,Bacău,81,2020-04-15
5.,Bihor,198,2020-04-15
6.,Bistrița-Năsăud,93,2020-04-15
7.,Botoșani,231,2020-04-15
8.,Brașov,270,2020-04-15
9.,Brăila,16,2020-04-15
10.,Buzău,14,2020-04-15
11.,Caraș-Severin,57,2020-04-15
12.,Călărași,41,2020-04-15
13.,Cluj,203,2020-04-15
14.,Constanța,163,2020-04-15
15.,Covasna,123,2020-04-15
16.,Dâmbovița,31,2020-04-15
17.,Dolj,55,2020-04-15
18.,Galați,229,2020-04-15
19.,Giurgiu,75,2020-04-15
20.,Gorj,10,2020-04-15
21.,Harghita,7,2020-04-15
22.,Hunedoara,320,2020-04-15
23.,Ialomița,110,2020-04-15
24.,Iași,121,2020-04-15
25.,Ilfov,135,2020-04-15
26.,Maramureș,55,2020-04-15
27.,Mehedinți,22,2020-04-15
28.,Mureș,243,2020-04-15
29.,Neamț,344,2020-04-15
30.,Olt,13,2020-04-15
31.,Prahova,39,2020-04-15
32.,Satu Mare,39,2020-04-15
33.,Sălaj,18,2020-04-15
34.,Sibiu,120,2020-04-15
35.,Suceava,1763,2020-04-15
36.,Teleorman,74,2020-04-15
37.,Timiș,322,2020-04-15
38.,Tulcea,23,2020-04-15
39.,Vaslui,52,2020-04-15
40.,Vâlcea,15,2020-04-15
41.,Vrancea,160,2020-04-15
42.,Mun. București,824,2020-04-15
