No,County,Confirmed,Date
1.,Alba,155,2020-04-20
2.,Arad,410,2020-04-20
3.,Argeș,96,2020-04-20
4.,Bacău,113,2020-04-20
5.,Bihor,259,2020-04-20
6.,Bistrița-Năsăud,109,2020-04-20
7.,Botoșani,308,2020-04-20
8.,Brașov,340,2020-04-20
9.,Brăila,18,2020-04-20
10.,Buzău,15,2020-04-20
11.,Caraș-Severin,64,2020-04-20
12.,Călărași,44,2020-04-20
13.,Cluj,259,2020-04-20
14.,Constanța,186,2020-04-20
15.,Covasna,154,2020-04-20
16.,Dâmbovița,82,2020-04-20
17.,Dolj,61,2020-04-20
18.,Galați,287,2020-04-20
19.,Giurgiu,101,2020-04-20
20.,Gorj,17,2020-04-20
21.,Harghita,17,2020-04-20
22.,Hunedoara,392,2020-04-20
23.,Ialomița,119,2020-04-20
24.,Iași,155,2020-04-20
25.,Ilfov,189,2020-04-20
26.,Maramureș,55,2020-04-20
27.,Mehedinți,37,2020-04-20
28.,Mureș,295,2020-04-20
29.,Neamț,368,2020-04-20
30.,Olt,13,2020-04-20
31.,Prahova,52,2020-04-20
32.,Satu Mare,45,2020-04-20
33.,Sălaj,20,2020-04-20
34.,Sibiu,177,2020-04-20
35.,Suceava,2115,2020-04-20
36.,Teleorman,80,2020-04-20
37.,Timiș,377,2020-04-20
38.,Tulcea,35,2020-04-20
39.,Vaslui,61,2020-04-20
40.,Vâlcea,19,2020-04-20
41.,Vrancea,214,2020-04-20
42.,Mun. București,1023,2020-04-20
