No,County,Confirmed,Date
1.,Alba,167,2020-04-28
2.,Arad,541,2020-04-28
3.,Argeș,134,2020-04-28
4.,Bacău,180,2020-04-28
5.,Bihor,438,2020-04-28
6.,Bistrița-Năsăud,172,2020-04-28
7.,Botoșani,442,2020-04-28
8.,Brașov,422,2020-04-28
9.,Brăila,22,2020-04-28
10.,Buzău,20,2020-04-28
11.,Caraș-Severin,88,2020-04-28
12.,Călărași,48,2020-04-28
13.,Cluj,315,2020-04-28
14.,Constanța,229,2020-04-28
15.,Covasna,178,2020-04-28
16.,Dâmbovița,96,2020-04-28
17.,Dolj,100,2020-04-28
18.,Galați,362,2020-04-28
19.,Giurgiu,128,2020-04-28
20.,Gorj,39,2020-04-28
21.,Harghita,19,2020-04-28
22.,Hunedoara,488,2020-04-28
23.,Ialomița,160,2020-04-28
24.,Iași,237,2020-04-28
25.,Ilfov,252,2020-04-28
26.,Maramureș,71,2020-04-28
27.,Mehedinți,58,2020-04-28
28.,Mureș,412,2020-04-28
29.,Neamț,451,2020-04-28
30.,Olt,36,2020-04-28
31.,Prahova,67,2020-04-28
32.,Satu Mare,55,2020-04-28
33.,Sălaj,31,2020-04-28
34.,Sibiu,270,2020-04-28
35.,Suceava,2695,2020-04-28
36.,Teleorman,95,2020-04-28
37.,Timiș,445,2020-04-28
38.,Tulcea,44,2020-04-28
39.,Vaslui,92,2020-04-28
40.,Vâlcea,25,2020-04-28
41.,Vrancea,251,2020-04-28
42.,Mun. București,1222,2020-04-28
43.,Not identified,19,2020-04-28
