No,County,Confirmed,Date
1.,Alba,407,2020-06-11
2.,Arad,700,2020-06-11
3.,Argeș,306,2020-06-11
4.,Bacău,550,2020-06-11
5.,Bihor,649,2020-06-11
6.,Bistrița-Năsăud,385,2020-06-11
7.,Botoșani,858,2020-06-11
8.,Brașov,941,2020-06-11
9.,Brăila,51,2020-06-11
10.,Buzău,234,2020-06-11
11.,Caraș-Severin,112,2020-06-11
12.,Călărași,109,2020-06-11
13.,Cluj,587,2020-06-11
14.,Constanța,301,2020-06-11
15.,Covasna,233,2020-06-11
16.,Dâmbovița,342,2020-06-11
17.,Dolj,248,2020-06-11
18.,Galați,658,2020-06-11
19.,Giurgiu,237,2020-06-11
20.,Gorj,160,2020-06-11
21.,Harghita,188,2020-06-11
22.,Hunedoara,639,2020-06-11
23.,Ialomița,397,2020-06-11
24.,Iași,683,2020-06-11
25.,Ilfov,603,2020-06-11
26.,Maramureș,113,2020-06-11
27.,Mehedinți,139,2020-06-11
28.,Mureș,694,2020-06-11
29.,Neamț,916,2020-06-11
30.,Olt,122,2020-06-11
31.,Prahova,130,2020-06-11
32.,Satu Mare,63,2020-06-11
33.,Sălaj,102,2020-06-11
34.,Sibiu,523,2020-06-11
35.,Suceava,3693,2020-06-11
36.,Teleorman,147,2020-06-11
37.,Timiș,509,2020-06-11
38.,Tulcea,162,2020-06-11
39.,Vaslui,165,2020-06-11
40.,Vâlcea,38,2020-06-11
41.,Vrancea,730,2020-06-11
42.,Mun. București,2324,2020-06-11
43.,Not identified,34,2020-06-11
