No,County,Confirmed,Date
1.,Alba,250,2020-05-13
2.,Arad,679,2020-05-13
3.,Argeș,188,2020-05-13
4.,Bacău,394,2020-05-13
5.,Bihor,488,2020-05-13
6.,Bistrița-Năsăud,276,2020-05-13
7.,Botoșani,632,2020-05-13
8.,Brașov,594,2020-05-13
9.,Brăila,19,2020-05-13
10.,Buzău,95,2020-05-13
11.,Caraș-Severin,110,2020-05-13
12.,Călărași,65,2020-05-13
13.,Cluj,516,2020-05-13
14.,Constanța,252,2020-05-13
15.,Covasna,225,2020-05-13
16.,Dâmbovița,156,2020-05-13
17.,Dolj,152,2020-05-13
18.,Galați,522,2020-05-13
19.,Giurgiu,209,2020-05-13
20.,Gorj,84,2020-05-13
21.,Harghita,24,2020-05-13
22.,Hunedoara,589,2020-05-13
23.,Ialomița,297,2020-05-13
24.,Iași,326,2020-05-13
25.,Ilfov,385,2020-05-13
26.,Maramureș,73,2020-05-13
27.,Mehedinți,85,2020-05-13
28.,Mureș,621,2020-05-13
29.,Neamț,785,2020-05-13
30.,Olt,51,2020-05-13
31.,Prahova,79,2020-05-13
32.,Satu Mare,54,2020-05-13
33.,Sălaj,52,2020-05-13
34.,Sibiu,437,2020-05-13
35.,Suceava,3317,2020-05-13
36.,Teleorman,109,2020-05-13
37.,Timiș,477,2020-05-13
38.,Tulcea,93,2020-05-13
39.,Vaslui,144,2020-05-13
40.,Vâlcea,26,2020-05-13
41.,Vrancea,467,2020-05-13
42.,Mun. București,1555,2020-05-13
43.,Not identified,50,2020-05-13
