No,County,Confirmed,Date
1.,Alba,237,2020-05-10
2.,Arad,678,2020-05-10
3.,Argeș,173,2020-05-10
4.,Bacău,371,2020-05-10
5.,Bihor,484,2020-05-10
6.,Bistrița-Năsăud,262,2020-05-10
7.,Botoșani,586,2020-05-10
8.,Brașov,574,2020-05-10
9.,Brăila,19,2020-05-10
10.,Buzău,65,2020-05-10
11.,Caraș-Severin,109,2020-05-10
12.,Călărași,61,2020-05-10
13.,Cluj,463,2020-05-10
14.,Constanța,252,2020-05-10
15.,Covasna,219,2020-05-10
16.,Dâmbovița,147,2020-05-10
17.,Dolj,140,2020-05-10
18.,Galați,513,2020-05-10
19.,Giurgiu,196,2020-05-10
20.,Gorj,78,2020-05-10
21.,Harghita,24,2020-05-10
22.,Hunedoara,565,2020-05-10
23.,Ialomița,289,2020-05-10
24.,Iași,287,2020-05-10
25.,Ilfov,368,2020-05-10
26.,Maramureș,70,2020-05-10
27.,Mehedinți,80,2020-05-10
28.,Mureș,598,2020-05-10
29.,Neamț,761,2020-05-10
30.,Olt,53,2020-05-10
31.,Prahova,76,2020-05-10
32.,Satu Mare,54,2020-05-10
33.,Sălaj,50,2020-05-10
34.,Sibiu,406,2020-05-10
35.,Suceava,3213,2020-05-10
36.,Teleorman,101,2020-05-10
37.,Timiș,471,2020-05-10
38.,Tulcea,86,2020-05-10
39.,Vaslui,133,2020-05-10
40.,Vâlcea,27,2020-05-10
41.,Vrancea,452,2020-05-10
42.,Mun. București,1508,2020-05-10
43.,Not identified,63,2020-05-10
