No,County,Confirmed,Date
1.,Alba,161,2020-04-26
2.,Arad,508,2020-04-26
3.,Argeș,124,2020-04-26
4.,Bacău,161,2020-04-26
5.,Bihor,376,2020-04-26
6.,Bistrița-Năsăud,156,2020-04-26
7.,Botoșani,414,2020-04-26
8.,Brașov,396,2020-04-26
9.,Brăila,20,2020-04-26
10.,Buzău,16,2020-04-26
11.,Caraș-Severin,83,2020-04-26
12.,Călărași,51,2020-04-26
13.,Cluj,305,2020-04-26
14.,Constanța,224,2020-04-26
15.,Covasna,177,2020-04-26
16.,Dâmbovița,95,2020-04-26
17.,Dolj,80,2020-04-26
18.,Galați,346,2020-04-26
19.,Giurgiu,127,2020-04-26
20.,Gorj,34,2020-04-26
21.,Harghita,20,2020-04-26
22.,Hunedoara,472,2020-04-26
23.,Ialomița,154,2020-04-26
24.,Iași,222,2020-04-26
25.,Ilfov,231,2020-04-26
26.,Maramureș,69,2020-04-26
27.,Mehedinți,52,2020-04-26
28.,Mureș,389,2020-04-26
29.,Neamț,434,2020-04-26
30.,Olt,33,2020-04-26
31.,Prahova,59,2020-04-26
32.,Satu Mare,55,2020-04-26
33.,Sălaj,30,2020-04-26
34.,Sibiu,238,2020-04-26
35.,Suceava,2613,2020-04-26
36.,Teleorman,96,2020-04-26
37.,Timiș,430,2020-04-26
38.,Tulcea,38,2020-04-26
39.,Vaslui,91,2020-04-26
40.,Vâlcea,24,2020-04-26
41.,Vrancea,205,2020-04-26
42.,Mun. București,1167,2020-04-26
43.,Not identified,60,2020-04-26
