No,County,Confirmed,Date
1.,Alba,402,2020-06-09
2.,Arad,698,2020-06-09
3.,Argeș,287,2020-06-09
4.,Bacău,546,2020-06-09
5.,Bihor,646,2020-06-09
6.,Bistrița-Năsăud,367,2020-06-09
7.,Botoșani,835,2020-06-09
8.,Brașov,890,2020-06-09
9.,Brăila,43,2020-06-09
10.,Buzău,225,2020-06-09
11.,Caraș-Severin,112,2020-06-09
12.,Călărași,104,2020-06-09
13.,Cluj,587,2020-06-09
14.,Constanța,300,2020-06-09
15.,Covasna,223,2020-06-09
16.,Dâmbovița,321,2020-06-09
17.,Dolj,243,2020-06-09
18.,Galați,641,2020-06-09
19.,Giurgiu,233,2020-06-09
20.,Gorj,158,2020-06-09
21.,Harghita,174,2020-06-09
22.,Hunedoara,638,2020-06-09
23.,Ialomița,410,2020-06-09
24.,Iași,663,2020-06-09
25.,Ilfov,559,2020-06-09
26.,Maramureș,109,2020-06-09
27.,Mehedinți,135,2020-06-09
28.,Mureș,689,2020-06-09
29.,Neamț,915,2020-06-09
30.,Olt,116,2020-06-09
31.,Prahova,123,2020-06-09
32.,Satu Mare,62,2020-06-09
33.,Sălaj,100,2020-06-09
34.,Sibiu,518,2020-06-09
35.,Suceava,3653,2020-06-09
36.,Teleorman,148,2020-06-09
37.,Timiș,509,2020-06-09
38.,Tulcea,158,2020-06-09
39.,Vaslui,165,2020-06-09
40.,Vâlcea,38,2020-06-09
41.,Vrancea,701,2020-06-09
42.,Mun. București,2271,2020-06-09
43.,Not identified,34,2020-06-09
