No,County,Confirmed,Date
1.,Alba,13,2020-04-03
2.,Arad,110,2020-04-03
3.,Argeș,12,2020-04-03
4.,Bacău,24,2020-04-03
5.,Bihor,44,2020-04-03
6.,Bistrița-Năsăud,27,2020-04-03
7.,Botoșani,44,2020-04-03
8.,Brașov,124,2020-04-03
9.,Brăila,13,2020-04-03
10.,Buzău,12,2020-04-03
11.,Caraș-Severin,17,2020-04-03
12.,Călărași,26,2020-04-03
13.,Cluj,108,2020-04-03
14.,Constanța,117,2020-04-03
15.,Covasna,38,2020-04-03
16.,Dâmbovița,19,2020-04-03
17.,Dolj,27,2020-04-03
18.,Galați,90,2020-04-03
19.,Giurgiu,22,2020-04-03
20.,Gorj,8,2020-04-03
21.,Harghita,1,2020-04-03
22.,Hunedoara,108,2020-04-03
23.,Ialomița,45,2020-04-03
24.,Iași,72,2020-04-03
25.,Ilfov,60,2020-04-03
26.,Maramureș,46,2020-04-03
27.,Mehedinți,11,2020-04-03
28.,Mureș,55,2020-04-03
29.,Neamț,150,2020-04-03
30.,Olt,8,2020-04-03
31.,Prahova,27,2020-04-03
32.,Satu Mare,16,2020-04-03
33.,Sălaj,7,2020-04-03
34.,Sibiu,27,2020-04-03
35.,Suceava,866,2020-04-03
36.,Teleorman,24,2020-04-03
37.,Timiș,126,2020-04-03
38.,Tulcea,6,2020-04-03
39.,Vaslui,11,2020-04-03
40.,Vâlcea,8,2020-04-03
41.,Vrancea,70,2020-04-03
42.,Mun. București,544,2020-04-03
