No,County,Confirmed,Date
1.,Alba,378,2020-05-29
2.,Arad,696,2020-05-29
3.,Argeș,253,2020-05-29
4.,Bacău,502,2020-05-29
5.,Bihor,582,2020-05-29
6.,Bistrița-Năsăud,331,2020-05-29
7.,Botoșani,744,2020-05-29
8.,Brașov,736,2020-05-29
9.,Brăila,27,2020-05-29
10.,Buzău,188,2020-05-29
11.,Caraș-Severin,112,2020-05-29
12.,Călărași,92,2020-05-29
13.,Cluj,549,2020-05-29
14.,Constanța,279,2020-05-29
15.,Covasna,229,2020-05-29
16.,Dâmbovița,282,2020-05-29
17.,Dolj,217,2020-05-29
18.,Galați,591,2020-05-29
19.,Giurgiu,216,2020-05-29
20.,Gorj,137,2020-05-29
21.,Harghita,124,2020-05-29
22.,Hunedoara,631,2020-05-29
23.,Ialomița,360,2020-05-29
24.,Iași,540,2020-05-29
25.,Ilfov,518,2020-05-29
26.,Maramureș,97,2020-05-29
27.,Mehedinți,109,2020-05-29
28.,Mureș,680,2020-05-29
29.,Neamț,879,2020-05-29
30.,Olt,80,2020-05-29
31.,Prahova,110,2020-05-29
32.,Satu Mare,61,2020-05-29
33.,Sălaj,87,2020-05-29
34.,Sibiu,500,2020-05-29
35.,Suceava,3496,2020-05-29
36.,Teleorman,144,2020-05-29
37.,Timiș,504,2020-05-29
38.,Tulcea,145,2020-05-29
39.,Vaslui,162,2020-05-29
40.,Vâlcea,28,2020-05-29
41.,Vrancea,608,2020-05-29
42.,Mun. București,1944,2020-05-29
43.,Not identified,34,2020-05-29
