No,County,Confirmed,Date
1.,Alba,506,2020-07-16
2.,Arad,743,2020-07-16
3.,Argeș,1653,2020-07-16
4.,Bacău,809,2020-07-16
5.,Bihor,718,2020-07-16
6.,Bistrița-Năsăud,660,2020-07-16
7.,Botoșani,1089,2020-07-16
8.,Brașov,2184,2020-07-16
9.,Brăila,336,2020-07-16
10.,Buzău,883,2020-07-16
11.,Caraș-Severin,135,2020-07-16
12.,Călărași,224,2020-07-16
13.,Cluj,820,2020-07-16
14.,Constanța,576,2020-07-16
15.,Covasna,342,2020-07-16
16.,Dâmbovița,1053,2020-07-16
17.,Dolj,409,2020-07-16
18.,Galați,1416,2020-07-16
19.,Giurgiu,313,2020-07-16
20.,Gorj,475,2020-07-16
21.,Harghita,403,2020-07-16
22.,Hunedoara,744,2020-07-16
23.,Ialomița,559,2020-07-16
24.,Iași,1108,2020-07-16
25.,Ilfov,948,2020-07-16
26.,Maramureș,251,2020-07-16
27.,Mehedinți,303,2020-07-16
28.,Mureș,838,2020-07-16
29.,Neamț,1029,2020-07-16
30.,Olt,437,2020-07-16
31.,Prahova,920,2020-07-16
32.,Satu Mare,82,2020-07-16
33.,Sălaj,124,2020-07-16
34.,Sibiu,730,2020-07-16
35.,Suceava,4218,2020-07-16
36.,Teleorman,206,2020-07-16
37.,Timiș,673,2020-07-16
38.,Tulcea,218,2020-07-16
39.,Vaslui,261,2020-07-16
40.,Vâlcea,191,2020-07-16
41.,Vrancea,1283,2020-07-16
42.,Mun. București,4096,2020-07-16
43.,Not identified,37,2020-07-16
