No,County,Confirmed,Date
1.,Alba,223,2020-05-07
2.,Arad,655,2020-05-07
3.,Argeș,164,2020-05-07
4.,Bacău,348,2020-05-07
5.,Bihor,478,2020-05-07
6.,Bistrița-Năsăud,247,2020-05-07
7.,Botoșani,560,2020-05-07
8.,Brașov,532,2020-05-07
9.,Brăila,18,2020-05-07
10.,Buzău,54,2020-05-07
11.,Caraș-Severin,108,2020-05-07
12.,Călărași,61,2020-05-07
13.,Cluj,455,2020-05-07
14.,Constanța,247,2020-05-07
15.,Covasna,209,2020-05-07
16.,Dâmbovița,126,2020-05-07
17.,Dolj,135,2020-05-07
18.,Galați,441,2020-05-07
19.,Giurgiu,148,2020-05-07
20.,Gorj,74,2020-05-07
21.,Harghita,22,2020-05-07
22.,Hunedoara,556,2020-05-07
23.,Ialomița,274,2020-05-07
24.,Iași,307,2020-05-07
25.,Ilfov,336,2020-05-07
26.,Maramureș,67,2020-05-07
27.,Mehedinți,75,2020-05-07
28.,Mureș,573,2020-05-07
29.,Neamț,617,2020-05-07
30.,Olt,48,2020-05-07
31.,Prahova,73,2020-05-07
32.,Satu Mare,53,2020-05-07
33.,Sălaj,45,2020-05-07
34.,Sibiu,387,2020-05-07
35.,Suceava,3111,2020-05-07
36.,Teleorman,93,2020-05-07
37.,Timiș,464,2020-05-07
38.,Tulcea,65,2020-05-07
39.,Vaslui,130,2020-05-07
40.,Vâlcea,26,2020-05-07
41.,Vrancea,397,2020-05-07
42.,Mun. București,1429,2020-05-07
43.,Not identified,68,2020-05-07
