No,County,Confirmed,Date
1.,Alba,155,2020-04-19
2.,Arad,402,2020-04-19
3.,Argeș,90,2020-04-19
4.,Bacău,105,2020-04-19
5.,Bihor,237,2020-04-19
6.,Bistrița-Năsăud,109,2020-04-19
7.,Botoșani,308,2020-04-19
8.,Brașov,315,2020-04-19
9.,Brăila,18,2020-04-19
10.,Buzău,15,2020-04-19
11.,Caraș-Severin,64,2020-04-19
12.,Călărași,40,2020-04-19
13.,Cluj,248,2020-04-19
14.,Constanța,183,2020-04-19
15.,Covasna,154,2020-04-19
16.,Dâmbovița,82,2020-04-19
17.,Dolj,61,2020-04-19
18.,Galați,276,2020-04-19
19.,Giurgiu,98,2020-04-19
20.,Gorj,17,2020-04-19
21.,Harghita,16,2020-04-19
22.,Hunedoara,391,2020-04-19
23.,Ialomița,115,2020-04-19
24.,Iași,156,2020-04-19
25.,Ilfov,186,2020-04-19
26.,Maramureș,55,2020-04-19
27.,Mehedinți,37,2020-04-19
28.,Mureș,268,2020-04-19
29.,Neamț,364,2020-04-19
30.,Olt,13,2020-04-19
31.,Prahova,52,2020-04-19
32.,Satu Mare,45,2020-04-19
33.,Sălaj,20,2020-04-19
34.,Sibiu,166,2020-04-19
35.,Suceava,2105,2020-04-19
36.,Teleorman,79,2020-04-19
37.,Timiș,376,2020-04-19
38.,Tulcea,31,2020-04-19
39.,Vaslui,59,2020-04-19
40.,Vâlcea,19,2020-04-19
41.,Vrancea,215,2020-04-19
42.,Mun. București,1001,2020-04-19
