No,County,Confirmed,Date
1.,Alba,211,2020-05-04
2.,Arad,614,2020-05-04
3.,Argeș,156,2020-05-04
4.,Bacău,272,2020-05-04
5.,Bihor,471,2020-05-04
6.,Bistrița-Năsăud,221,2020-05-04
7.,Botoșani,517,2020-05-04
8.,Brașov,492,2020-05-04
9.,Brăila,25,2020-05-04
10.,Buzău,41,2020-05-04
11.,Caraș-Severin,106,2020-05-04
12.,Călărași,59,2020-05-04
13.,Cluj,428,2020-05-04
14.,Constanța,250,2020-05-04
15.,Covasna,195,2020-05-04
16.,Dâmbovița,113,2020-05-04
17.,Dolj,126,2020-05-04
18.,Galați,422,2020-05-04
19.,Giurgiu,140,2020-05-04
20.,Gorj,66,2020-05-04
21.,Harghita,21,2020-05-04
22.,Hunedoara,534,2020-05-04
23.,Ialomița,217,2020-05-04
24.,Iași,283,2020-05-04
25.,Ilfov,300,2020-05-04
26.,Maramureș,75,2020-05-04
27.,Mehedinți,70,2020-05-04
28.,Mureș,510,2020-05-04
29.,Neamț,521,2020-05-04
30.,Olt,49,2020-05-04
31.,Prahova,70,2020-05-04
32.,Satu Mare,52,2020-05-04
33.,Sălaj,40,2020-05-04
34.,Sibiu,368,2020-05-04
35.,Suceava,2964,2020-05-04
36.,Teleorman,105,2020-05-04
37.,Timiș,458,2020-05-04
38.,Tulcea,55,2020-05-04
39.,Vaslui,117,2020-05-04
40.,Vâlcea,23,2020-05-04
41.,Vrancea,347,2020-05-04
42.,Mun. București,1369,2020-05-04
43.,Not identified,39,2020-05-04
