No,County,Confirmed,Date
1.,Alba,256,2020-05-15
2.,Arad,691,2020-05-15
3.,Argeș,193,2020-05-15
4.,Bacău,418,2020-05-15
5.,Bihor,492,2020-05-15
6.,Bistrița-Năsăud,292,2020-05-15
7.,Botoșani,646,2020-05-15
8.,Brașov,604,2020-05-15
9.,Brăila,19,2020-05-15
10.,Buzău,97,2020-05-15
11.,Caraș-Severin,110,2020-05-15
12.,Călărași,69,2020-05-15
13.,Cluj,513,2020-05-15
14.,Constanța,256,2020-05-15
15.,Covasna,228,2020-05-15
16.,Dâmbovița,170,2020-05-15
17.,Dolj,154,2020-05-15
18.,Galați,529,2020-05-15
19.,Giurgiu,202,2020-05-15
20.,Gorj,88,2020-05-15
21.,Harghita,36,2020-05-15
22.,Hunedoara,598,2020-05-15
23.,Ialomița,319,2020-05-15
24.,Iași,342,2020-05-15
25.,Ilfov,404,2020-05-15
26.,Maramureș,80,2020-05-15
27.,Mehedinți,89,2020-05-15
28.,Mureș,641,2020-05-15
29.,Neamț,824,2020-05-15
30.,Olt,53,2020-05-15
31.,Prahova,79,2020-05-15
32.,Satu Mare,56,2020-05-15
33.,Sălaj,55,2020-05-15
34.,Sibiu,442,2020-05-15
35.,Suceava,3386,2020-05-15
36.,Teleorman,113,2020-05-15
37.,Timiș,488,2020-05-15
38.,Tulcea,96,2020-05-15
39.,Vaslui,146,2020-05-15
40.,Vâlcea,27,2020-05-15
41.,Vrancea,501,2020-05-15
42.,Mun. București,1591,2020-05-15
43.,Not identified,44,2020-05-15
