No,County,Confirmed,Date
1.,Alba,230,2020-05-09
2.,Arad,675,2020-05-09
3.,Argeș,167,2020-05-09
4.,Bacău,360,2020-05-09
5.,Bihor,483,2020-05-09
6.,Bistrița-Năsăud,260,2020-05-09
7.,Botoșani,568,2020-05-09
8.,Brașov,557,2020-05-09
9.,Brăila,19,2020-05-09
10.,Buzău,63,2020-05-09
11.,Caraș-Severin,109,2020-05-09
12.,Călărași,61,2020-05-09
13.,Cluj,458,2020-05-09
14.,Constanța,249,2020-05-09
15.,Covasna,214,2020-05-09
16.,Dâmbovița,140,2020-05-09
17.,Dolj,139,2020-05-09
18.,Galați,502,2020-05-09
19.,Giurgiu,168,2020-05-09
20.,Gorj,78,2020-05-09
21.,Harghita,24,2020-05-09
22.,Hunedoara,558,2020-05-09
23.,Ialomița,281,2020-05-09
24.,Iași,322,2020-05-09
25.,Ilfov,363,2020-05-09
26.,Maramureș,68,2020-05-09
27.,Mehedinți,77,2020-05-09
28.,Mureș,597,2020-05-09
29.,Neamț,708,2020-05-09
30.,Olt,53,2020-05-09
31.,Prahova,75,2020-05-09
32.,Satu Mare,54,2020-05-09
33.,Sălaj,48,2020-05-09
34.,Sibiu,403,2020-05-09
35.,Suceava,3189,2020-05-09
36.,Teleorman,103,2020-05-09
37.,Timiș,464,2020-05-09
38.,Tulcea,81,2020-05-09
39.,Vaslui,131,2020-05-09
40.,Vâlcea,26,2020-05-09
41.,Vrancea,451,2020-05-09
42.,Mun. București,1489,2020-05-09
43.,Not identified,66,2020-05-09
