No,County,Confirmed,Date
1.,Alba,423,2020-06-22
2.,Arad,704,2020-06-22
3.,Argeș,510,2020-06-22
4.,Bacău,591,2020-06-22
5.,Bihor,664,2020-06-22
6.,Bistrița-Năsăud,454,2020-06-22
7.,Botoșani,960,2020-06-22
8.,Brașov,1227,2020-06-22
9.,Brăila,128,2020-06-22
10.,Buzău,426,2020-06-22
11.,Caraș-Severin,112,2020-06-22
12.,Călărași,148,2020-06-22
13.,Cluj,655,2020-06-22
14.,Constanța,378,2020-06-22
15.,Covasna,264,2020-06-22
16.,Dâmbovița,428,2020-06-22
17.,Dolj,263,2020-06-22
18.,Galați,780,2020-06-22
19.,Giurgiu,258,2020-06-22
20.,Gorj,196,2020-06-22
21.,Harghita,272,2020-06-22
22.,Hunedoara,641,2020-06-22
23.,Ialomița,410,2020-06-22
24.,Iași,876,2020-06-22
25.,Ilfov,671,2020-06-22
26.,Maramureș,144,2020-06-22
27.,Mehedinți,174,2020-06-22
28.,Mureș,719,2020-06-22
29.,Neamț,948,2020-06-22
30.,Olt,163,2020-06-22
31.,Prahova,235,2020-06-22
32.,Satu Mare,74,2020-06-22
33.,Sălaj,111,2020-06-22
34.,Sibiu,591,2020-06-22
35.,Suceava,3920,2020-06-22
36.,Teleorman,154,2020-06-22
37.,Timiș,514,2020-06-22
38.,Tulcea,172,2020-06-22
39.,Vaslui,170,2020-06-22
40.,Vâlcea,47,2020-06-22
41.,Vrancea,942,2020-06-22
42.,Mun. București,2740,2020-06-22
43.,Not identified,34,2020-06-22
