No,County,Confirmed,Date
1.,Alba,414,2020-06-18
2.,Arad,704,2020-06-18
3.,Argeș,415,2020-06-18
4.,Bacău,579,2020-06-18
5.,Bihor,660,2020-06-18
6.,Bistrița-Năsăud,439,2020-06-18
7.,Botoșani,941,2020-06-18
8.,Brașov,1121,2020-06-18
9.,Brăila,98,2020-06-18
10.,Buzău,351,2020-06-18
11.,Caraș-Severin,112,2020-06-18
12.,Călărași,143,2020-06-18
13.,Cluj,628,2020-06-18
14.,Constanța,331,2020-06-18
15.,Covasna,252,2020-06-18
16.,Dâmbovița,386,2020-06-18
17.,Dolj,261,2020-06-18
18.,Galați,722,2020-06-18
19.,Giurgiu,253,2020-06-18
20.,Gorj,180,2020-06-18
21.,Harghita,241,2020-06-18
22.,Hunedoara,640,2020-06-18
23.,Ialomița,406,2020-06-18
24.,Iași,774,2020-06-18
25.,Ilfov,649,2020-06-18
26.,Maramureș,125,2020-06-18
27.,Mehedinți,163,2020-06-18
28.,Mureș,708,2020-06-18
29.,Neamț,940,2020-06-18
30.,Olt,140,2020-06-18
31.,Prahova,188,2020-06-18
32.,Satu Mare,69,2020-06-18
33.,Sălaj,109,2020-06-18
34.,Sibiu,568,2020-06-18
35.,Suceava,3852,2020-06-18
36.,Teleorman,151,2020-06-18
37.,Timiș,512,2020-06-18
38.,Tulcea,167,2020-06-18
39.,Vaslui,166,2020-06-18
40.,Vâlcea,40,2020-06-18
41.,Vrancea,877,2020-06-18
42.,Mun. București,2571,2020-06-18
43.,Not identified,34,2020-06-18
