No,County,Confirmed,Date
1.,Alba,83,2020-04-08
2.,Arad,161,2020-04-08
3.,Argeș,33,2020-04-08
4.,Bacău,51,2020-04-08
5.,Bihor,58,2020-04-08
6.,Bistrița-Năsăud,72,2020-04-08
7.,Botoșani,89,2020-04-08
8.,Brașov,161,2020-04-08
9.,Brăila,14,2020-04-08
10.,Buzău,13,2020-04-08
11.,Caraș-Severin,28,2020-04-08
12.,Călărași,35,2020-04-08
13.,Cluj,129,2020-04-08
14.,Constanța,114,2020-04-08
15.,Covasna,57,2020-04-08
16.,Dâmbovița,27,2020-04-08
17.,Dolj,39,2020-04-08
18.,Galați,128,2020-04-08
19.,Giurgiu,36,2020-04-08
20.,Gorj,7,2020-04-08
21.,Harghita,3,2020-04-08
22.,Hunedoara,174,2020-04-08
23.,Ialomița,79,2020-04-08
24.,Iași,106,2020-04-08
25.,Ilfov,99,2020-04-08
26.,Maramureș,41,2020-04-08
27.,Mehedinți,13,2020-04-08
28.,Mureș,103,2020-04-08
29.,Neamț,196,2020-04-08
30.,Olt,12,2020-04-08
31.,Prahova,36,2020-04-08
32.,Satu Mare,25,2020-04-08
33.,Sălaj,11,2020-04-08
34.,Sibiu,72,2020-04-08
35.,Suceava,1430,2020-04-08
36.,Teleorman,36,2020-04-08
37.,Timiș,227,2020-04-08
38.,Tulcea,10,2020-04-08
39.,Vaslui,17,2020-04-08
40.,Vâlcea,9,2020-04-08
41.,Vrancea,90,2020-04-08
42.,Mun. București,637,2020-04-08
